,"Post-2000 Structural Shift Indicator (Moos 2017) — Moos 2017; share; period=[1959, 2012]; series_status=book_period_validated"
Year,ES1305-A
1959,-0.025355084980274
1960,-0.0304926739454734
1961,-0.0219675103877308
1962,-0.0261368037307969
1963,-0.0280240207191298
1964,-0.0207283101974991
1965,-0.0186053231975339
1966,-0.0253254052041948
1967,-0.0202736071768673
1968,-0.0227533095981159
1969,-0.0310167546926836
1970,-0.0138315026115687
1971,-0.0002329311792673
1972,-0.0083905414227584
1973,-0.0106047198384862
1974,-0.0039058552339504
1975,0.0219493173755572
1976,0.0128384312866203
1977,0.0049853711840587
1978,-0.0015062096023006
1979,-0.0062784763167761
1980,0.0026635474157382
1981,-0.0027461374399341
1982,0.0024226579872163
1983,0.0065318883798284
1984,-0.0012532659450359
1985,-0.0052388076765214
1986,-0.0049792044693522
1987,-0.0102790976780437
1988,-0.0118831018296424
1989,-0.0121295535253119
1990,-0.0067558594413548
1991,0.0049890602210039
1992,0.0130772061944486
1993,0.0138892466115964
1994,0.0108332826251695
1995,0.011014284281129
1996,0.0066852282265377
1997,6.572849051094884e-05
1998,-0.0069618968590051
1999,-0.0099452055689774
2000,-0.0136324996864535
2001,-0.0026052440691583
2002,0.0193309816611882
2003,0.0263599387907686
2004,0.0262395046503861
2005,0.0212689469861698
2006,0.0198108212758515
2007,0.0192004859625792
2008,0.0326920616781818
2009,0.0653772403436472
2010,0.0688040130647741
2011,0.0620796001620786
2012,0.0564599479120065
