naics_code,classification
111CA,productive
113FF,productive
211,productive
212,productive
213,productive
22,productive
23,productive
311FT,productive
313TT,productive
315AL,productive
321,productive
322,productive
323,productive
324,productive
325,productive
326,productive
327,productive
331,productive
332,productive
333,productive
334,productive
335,productive
3361MV,productive
3364OT,productive
337,productive
339,productive
42,trading
441,trading
445,trading
452,trading
481,productive
482,productive
483,productive
484,productive
485,productive
486,productive
487OS,productive
493,productive
4A0,trading
511,productive
512,productive
513,productive
514,productive
521CI,unproductive
523,unproductive
524,unproductive
525,unproductive
532RL,trading
5411,unproductive
5412OP,unproductive
5415,unproductive
55,unproductive
561,unproductive
562,unproductive
61,productive
621,productive
622,productive
623,productive
624,productive
711AS,productive
713,productive
721,productive
722,productive
81,productive
GFE,govt_enterprise
GFGD,govt_admin
GFGN,govt_admin
GSLE,govt_enterprise
GSLG,govt_admin
HS,unproductive
ORE,unproductive
