"LineNumber","LineDescription","TimePeriod","DataValue"
"1","Current receipts","1929","10,544"
"1","Current receipts","1930","9,975"
"1","Current receipts","1931","8,685"
"1","Current receipts","1932","8,171"
"1","Current receipts","1933","8,628"
"1","Current receipts","1934","9,700"
"1","Current receipts","1935","10,462"
"1","Current receipts","1936","11,886"
"1","Current receipts","1937","14,266"
"1","Current receipts","1938","13,873"
"1","Current receipts","1939","14,249"
"1","Current receipts","1940","16,622"
"1","Current receipts","1941","23,764"
"1","Current receipts","1942","31,224"
"1","Current receipts","1943","47,619"
"1","Current receipts","1944","49,432"
"1","Current receipts","1945","51,366"
"1","Current receipts","1946","50,387"
"1","Current receipts","1947","55,395"
"1","Current receipts","1948","56,757"
"1","Current receipts","1949","53,588"
"1","Current receipts","1950","66,091"
"1","Current receipts","1951","81,919"
"1","Current receipts","1952","86,443"
"1","Current receipts","1953","90,800"
"1","Current receipts","1954","85,933"
"1","Current receipts","1955","96,656"
"1","Current receipts","1956","104,147"
"1","Current receipts","1957","109,797"
"1","Current receipts","1958","108,166"
"1","Current receipts","1959","122,549"
"1","Current receipts","1960","133,926"
"1","Current receipts","1961","138,531"
"1","Current receipts","1962","150,068"
"1","Current receipts","1963","161,628"
"1","Current receipts","1964","166,113"
"1","Current receipts","1965","179,762"
"1","Current receipts","1966","202,215"
"1","Current receipts","1967","217,039"
"1","Current receipts","1968","251,352"
"1","Current receipts","1969","282,685"
"1","Current receipts","1970","285,847"
"1","Current receipts","1971","302,310"
"1","Current receipts","1972","345,609"
"1","Current receipts","1973","388,789"
"1","Current receipts","1974","430,239"
"1","Current receipts","1975","441,228"
"1","Current receipts","1976","505,685"
"1","Current receipts","1977","567,397"
"1","Current receipts","1978","646,125"
"1","Current receipts","1979","729,342"
"1","Current receipts","1980","799,894"
"1","Current receipts","1981","919,127"
"1","Current receipts","1982","940,921"
"1","Current receipts","1983","1,002,103"
"1","Current receipts","1984","1,114,958"
"1","Current receipts","1985","1,217,036"
"1","Current receipts","1986","1,292,856"
"1","Current receipts","1987","1,406,641"
"1","Current receipts","1988","1,507,065"
"1","Current receipts","1989","1,631,997"
