"date","value"
"1959-01-01","402.9"
"1960-01-01","422.1"
"1961-01-01","440.6"
"1962-01-01","468.8"
"1963-01-01","492.8"
"1964-01-01","528.2"
"1965-01-01","570.6"
"1966-01-01","620.3"
"1967-01-01","665.7"
"1968-01-01","730.9"
"1969-01-01","800.4"
"1970-01-01","865.1"
"1971-01-01","932.8"
"1972-01-01","1024.5"
"1973-01-01","1140.8"
"1974-01-01","1251.8"
"1975-01-01","1369.4"
"1976-01-01","1502.6"
"1977-01-01","1659.2"
"1978-01-01","1863.7"
"1979-01-01","2082.7"
"1980-01-01","2324.5"
"1981-01-01","2603.2"
"1982-01-01","2789.5"
"1983-01-01","2981.7"
"1984-01-01","3288.7"
"1985-01-01","3522.9"
"1986-01-01","3731.2"
"1987-01-01","3946.8"
"1988-01-01","4280.0"
"1989-01-01","4621.0"
"1990-01-01","4913.3"
"1991-01-01","5089.9"
"1992-01-01","5417.5"
"1993-01-01","5652.9"
"1994-01-01","5940.9"
"1995-01-01","6283.3"
"1996-01-01","6666.2"
"1997-01-01","7074.0"
"1998-01-01","7588.3"
"1999-01-01","7978.6"
"2000-01-01","8621.3"
"2001-01-01","8993.1"
"2002-01-01","9150.0"
"2003-01-01","9481.7"
"2004-01-01","10015.9"
"2005-01-01","10546.1"
"2006-01-01","11302.0"
"2007-01-01","11932.1"
"2008-01-01","12425.7"
"2009-01-01","12065.7"
"2010-01-01","12556.6"
"2011-01-01","13309.6"
"2012-01-01","13917.8"
"2013-01-01","14068.8"
"2014-01-01","14784.1"
"2015-01-01","15473.7"
"2016-01-01","15887.7"
"2017-01-01","16662.8"
"2018-01-01","17528.2"
"2019-01-01","18363.2"
"2020-01-01","19631.7"
"2021-01-01","21498.9"
"2022-01-01","22153.8"
"2023-01-01","23585.0"
"2024-01-01","24905.9"
