"date","value"
"1959-01-01","60.945"
"1960-01-01","60.901"
"1961-01-01","64.543"
"1962-01-01","69.701"
"1963-01-01","70.003"
"1964-01-01","69.728"
"1965-01-01","70.583"
"1966-01-01","82.471"
"1967-01-01","95.034"
"1968-01-01","101.357"
"1969-01-01","102.068"
"1970-01-01","100.710"
"1971-01-01","97.995"
"1972-01-01","100.714"
"1973-01-01","102.635"
"1974-01-01","109.894"
"1975-01-01","117.976"
"1976-01-01","124.952"
"1977-01-01","134.408"
"1978-01-01","145.181"
"1979-01-01","160.587"
"1980-01-01","183.405"
"1981-01-01","213.372"
"1982-01-01","245.405"
"1983-01-01","272.055"
"1984-01-01","298.764"
"1985-01-01","329.501"
"1986-01-01","352.360"
"1987-01-01","372.385"
"1988-01-01","382.101"
"1989-01-01","391.228"
"1990-01-01","405.007"
"1991-01-01","414.041"
"1992-01-01","406.465"
"1993-01-01","391.646"
"1994-01-01","382.114"
"1995-01-01","377.159"
"1996-01-01","377.262"
"1997-01-01","371.990"
"1998-01-01","368.753"
"1999-01-01","383.254"
"2000-01-01","392.570"
"2001-01-01","413.162"
"2002-01-01","458.933"
"2003-01-01","521.221"
"2004-01-01","569.878"
"2005-01-01","609.437"
"2006-01-01","640.815"
"2007-01-01","679.264"
"2008-01-01","750.336"
"2009-01-01","787.565"
"2010-01-01","827.971"
"2011-01-01","833.978"
"2012-01-01","814.175"
"2013-01-01","764.319"
"2014-01-01","744.054"
"2015-01-01","730.372"
"2016-01-01","729.434"
"2017-01-01","748.293"
"2018-01-01","795.065"
"2019-01-01","849.506"
"2020-01-01","884.863"
"2021-01-01","909.095"
"2022-01-01","929.596"
"2023-01-01","1003.971"
"2024-01-01","1082.721"
