year,exploitation_rate,Lp_L_ratio,V_W_ratio,source,last_updated,methodology
1948,1.7,0.57,0.54,Book Table 5.7,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1949,1.713,0.565,0.535,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1950,1.726,0.5599999999999999,0.53,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1951,1.739,0.5549999999999999,0.525,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1952,1.752,0.5499999999999999,0.52,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1953,1.765,0.5449999999999999,0.515,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1954,1.778,0.54,0.51,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1955,1.791,0.535,0.505,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1956,1.804,0.53,0.5,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1957,1.817,0.525,0.495,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1958,1.83,0.52,0.49,Book Table 5.7,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1959,1.86,0.518888888888889,0.485,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1960,1.89,0.5177777777777778,0.48,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1961,1.92,0.5166666666666667,0.476,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1962,1.95,0.5155555555555555,0.472,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1963,1.98,0.5144444444444445,0.4679999999999999,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1964,2.01,0.5133333333333333,0.4639999999999999,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1965,2.04,0.5122222222222222,0.4599999999999999,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1966,2.0700000000000003,0.5111111111111111,0.456,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1967,2.1,0.51,0.452,Book Table 5.7,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
1968,2.1,0.509,0.448,Interpolated from benchmarks,2025-12-05T23:11:33.312504,"Shaikh-Tonak 1994, exact book method"
