"date","value"
"1987-01-01","."
"1988-01-01","."
"1989-01-01","."
"1990-01-01","."
"1991-01-01","."
"1992-01-01","."
"1993-01-01","."
"1994-01-01","."
"1995-01-01","."
"1996-01-01","."
"1997-01-01","."
"1998-01-01","1908912883.5000001"
"1999-01-01","3400693654.7500000"
"2000-01-01","5114239110.7500000"
"2001-01-01","7817272401.0000000"
"2002-01-01","11619796237.0000000"
"2003-01-01","14862101052.5000000"
"2004-01-01","17944872734.2499995"
"2005-01-01","20724560864.2500000"
"2006-01-01","25678142311.2500000"
"2007-01-01","29715553069.5000000"
"2008-01-01","34084426684.0000000"
"2009-01-01","39394097099.7500000"
"2010-01-01","43421232275.5000000"
"2011-01-01","47768786387.0000000"
"2012-01-01","55850425618.0000000"
"2013-01-01","63903764006.5000050"
"2014-01-01","72024064856.5000000"
"2015-01-01","81137876704.0000000"
"2016-01-01","96744158978.7500000"
"2017-01-01","112658669427.0000000"
"2018-01-01","136425861489.0000000"
"2019-01-01","164842630618.2500000"
"2020-01-01","189239408686.0000000"
"2021-01-01","234834392872.7500000"
"2022-01-01","437338550945.7500000"
"2023-01-01","."
