source,Chapter 9 Summary Table,,,,period,1948-1989,,units,various_ratios
year,T506_exploitation_rate,T511_productive_labor_share,T512_productive_wage_share,T513_marxian_profit_rate,T514_capacity_adj_profit_rate,T608_nsw_v_star
1948,1.7000,0.5700,0.5400,186.50,151.20,
1949,1.7130,0.5650,0.5350,178.30,147.50,
1950,1.7260,0.5600,0.5300,192.40,158.60,
1951,1.7390,0.5550,0.5250,201.20,163.80,
1952,1.7520,0.5500,0.5200,195.60,160.20,-0.004825
1953,1.7650,0.5450,0.5150,198.40,162.50,-0.004370
1954,1.7780,0.5400,0.5100,188.20,157.20,-0.003054
1955,1.7910,0.5350,0.5050,205.30,167.10,-0.004266
1956,1.8040,0.5300,0.5000,198.70,164.20,-0.005505
1957,1.8170,0.5250,0.4950,193.50,162.30,-0.004712
1958,1.8300,0.5200,0.4900,183.40,158.50,-0.002323
1959,1.8600,0.5189,0.4850,195.80,163.80,-0.004068
1960,1.8900,0.5178,0.4800,191.20,162.40,-0.005324
1961,1.9200,0.5167,0.4760,188.60,161.80,-0.004151
1962,1.9500,0.5156,0.4720,198.40,167.20,-0.004897
1963,1.9800,0.5144,0.4680,203.20,170.50,-0.005421
1964,2.0100,0.5133,0.4640,209.80,174.80,-0.004835
1965,2.0400,0.5122,0.4600,218.50,179.40,-0.004964
1966,2.0700,0.5111,0.4560,222.30,179.70,-0.005762
1967,2.1000,0.5100,0.4520,213.60,177.20,-0.004447
1968,2.1000,0.5090,0.4480,215.80,177.40,-0.004978
1969,2.1000,0.5080,0.4440,208.20,173.50,-0.006543
1970,2.1000,0.5070,0.4400,194.30,167.50,-0.003998
1971,2.1000,0.5060,0.4360,195.80,168.20,-0.001829
1972,2.1000,0.5050,0.4320,203.60,172.40,-0.003391
1973,2.1000,0.5040,0.4280,206.40,170.80,-0.004631
1974,2.1000,0.5030,0.4240,189.20,158.70,-0.003571
1975,2.1000,0.5020,0.4200,186.50,161.20,0.002935
1976,2.1000,0.5010,0.4160,195.30,166.50,0.000708
1977,2.1000,0.5000,0.4120,198.60,168.40,-0.001265
1978,2.1283,0.4883,0.4080,198.20,165.20,-0.003526
1979,2.1567,0.4767,0.4040,188.40,157.00,-0.004814
1980,2.1850,0.4650,0.4000,175.60,150.50,-0.002098
1981,2.2133,0.4533,0.3956,178.20,152.40,-0.004694
1982,2.2417,0.4417,0.3911,168.40,150.40,-0.000720
1983,2.2700,0.4300,0.3867,175.80,154.20,0.000987
1984,2.2983,0.4183,0.3822,188.60,160.30,-0.003120
1985,2.3267,0.4067,0.3778,186.40,159.20,-0.004644
1986,2.3550,0.3950,0.3733,184.20,158.80,-0.004328
1987,2.3833,0.3833,0.3689,186.80,159.40,-0.007789
1988,2.4117,0.3717,0.3644,190.20,160.50,-0.009037
1989,2.4400,0.3600,0.3600,186.30,156.20,-0.009177
