old_id,new_id,name,source,year_range,notes
T201,S201,Alternative GFP Measures,Book Ch 2,1929-2025,
T401,S401,A-Matrix,Book Ch 4,1947-1977,
T402,S402,B-Matrix (Leontief Inverse),Book Ch 4,1947-1977,
T501,S501,Total Product (TP*),Book Ch 5,1929-2025,
T502,S502,Constant Capital (C*_m),Book Ch 5,1929-2025,
T503,S503,Gross Final Product (GFP = TP* - C*_m),Book Ch 5,1929-2025,
T504,S504,Variable Capital (V*),Book Ch 5,1948-2024,
T505,S505,Surplus Value (S* = VA* - V*),Book Ch 5,1948-2024,
T506,S506,Rate of Exploitation (e = S*/V*),Book Ch 5,1948-2024,
T507,S507,Surplus Ratio (S*/Y = S*/(S*+V*)),Book Ch 5,1948-2024,
T508,S508,Productive Consumption (CON*),Book Ch 5,1929-2025,
T509,S509,Productive Investment (IG*),Book Ch 5,1929-2025,
T510,S510,Value Composition of Capital (K/V*),Book Ch 5,1948-2024,
T511,S511,Productive Labor Share (Lp/L),Book Ch 5,1948-2024,
T512,S512,Productive Wage Share (V*/W),Book Ch 5,1948-2024,
T513,S513,Marxian Profit Rate (r* = S*/(C*+V*)),Book Ch 5,1948-2024,
T514,S514,Capacity-Adjusted Profit Rate (r*_adj = r*Ã—TCU),Book Ch 5,1948-2024,
T515,S515,Productive Employment (Lp),Book Ch 5,1948-2024,
T516,S516,Unproductive Employment (Lu = L - Lp),Book Ch 5,1948-2024,
T601,S601,Personal Tax Workers,Book Ch 6,1952-2025,
T602,S602,Social Insurance Tax Workers,Book Ch 6,1952-2025,
T603,S603,Property Tax Workers,Book Ch 6,1952-2025,
T604,S604,Total Tax Workers (T_w = sum),Book Ch 6,1952-2025,
T605,S605,Government Benefits to Workers (B_w),Book Ch 6,1952-2025,
T606,S606,Government Services Workers (G_w),Book Ch 6,1952-2024,
T607,S607,Net Social Wage (NSW = B_w + G_w - T_w),Book Ch 6,1952-2025,
T608,S608,NSW/V* Ratio,Book Ch 6,1952-2024,
T609,S609,NSW/NI Share,Book Ch 6,1952-2025,
T701,S701,Labor Values,Book Ch 7,1947-1977,
T702,S702,Prices of Production,Book Ch 7,1947-1977,
T703,S703,Value-Price Deviations,Book Ch 7,1947-1977,
T801,S801,Cross-Study Comparison,Book Ch 8,1948-1989,
T901,S901,Summary Table,Book Ch 9,1948-2024,
N1001,ES1001,Labor Share of National Income (Tonak 1984),Tonak (1984),1952-1980,
N1002,ES1002,Net Tax Rate on Workers (Tonak 1984),Tonak (1984),1952-1980,
N1101,ES1101,Net Transfer Rate (ST 1987),Shaikh & Tonak (1987),1952-1985,
N1102,ES1102,Social Benefit Rate (ST 1987),Shaikh & Tonak (1987),1952-1985,
N1103,ES1103,Social Tax Rate (ST 1987),Shaikh & Tonak (1987),1952-1985,
N1201,ES1201,NSW/GDP (ST 2002),Shaikh & Tonak (2002),1952-1997,
N1202,ES1202,NSW/EC (ST 2002),Shaikh & Tonak (2002),1952-1997,
N1301,ES1301,NSW/GDP Extended (Moos 2017),Moos (2017),1959-2024,
N1302,ES1302,NSW/EC Extended (Moos 2017),Moos (2017),1959-2024,
N1304,ES1304,Moos vs ST Comparison 1959-1997 (Moos 2017),Moos (2017),1959-1997,
N1305,ES1305,Post-2000 Structural Shift Indicator (Moos 2017),Moos (2017),1959-2024,
N1401,ES1401,Exploitation Rate â€” Mohun Classification (Mohun 2005),Mohun (2005),1948-1989,
N1402,ES1402,Productive Labor Share â€” Mohun Classification (Mohun 2005),Mohun (2005),1948-1989,
N1403,ES1403,Variable Capital â€” Mohun Classification (Mohun 2005),Mohun (2005),1948-1989,
N1404,ES1404,ST/Mohun Exploitation Rate Ratio (Mohun 2005),Mohun (2005),1948-1989,
N1501,ES1501,Working Class Unproductive Labor (Mohun 2013),Mohun (2013),1948-1989,
N1502,ES1502,Managerial Unproductive Labor (Mohun 2013),Mohun (2013),1948-1989,
N1503,ES1503,Total Unproductive Labor â€” Mohun (Mohun 2013),Mohun (2013),1948-1989,
N1504,ES1504,Unproductive Burden Ratio Lu/Lp (Mohun 2013),Mohun (2013),1948-1989,
N1601,ES1601,Turkey Labor Share (Karabacak & Tonak 2022),Karabacak & Tonak (2022) Turkey,1980-2019,
N1602,ES1602,Turkey NSW/GDP (Karabacak & Tonak 2022),Karabacak & Tonak (2022) Turkey,1980-2019,
N1701,ES1701,NZ Surplus Share of Total Value (Cronin 2001),Cronin (2001) New Zealand,1972-1995,
N1702,ES1702,NZ Rate of Surplus Value (Cronin 2001),Cronin (2001) New Zealand,1972-1995,
N1703,ES1703,NZ Value Composition of Capital (Cronin 2001),Cronin (2001) New Zealand,1972-1995,
N1704,ES1704,NZ Total Value (Cronin 2001),Cronin (2001) New Zealand,1972-1995,
A07_social_burden_rate,AS001,Social Burden Rate,"Anu-original (analytical, ch 6 related)",1948-2024,New first-class registry entry (was script-only in ST2)
A08_khanjian_crossvalidation,AS002,Khanjian Cross-Validation,Anu-original (validation),1948-2024,New first-class registry entry (was script-only in ST2)
A09_unproductive_exploitation,AS003,Unproductive Exploitation Rate,"Anu-original (analytical, ch 5 related)",1948-2024,New first-class registry entry (was script-only in ST2)
A10_marxian_productivity,AS004,Marxian Productivity,"Anu-original (analytical, ch 7 related)",1948-2024,New first-class registry entry (was script-only in ST2)
