year,book,combined
1948,1.7,1.7000000000000002
1949,1.713,1.713
1950,1.726,1.726
1951,1.739,1.7389999999999999
1952,1.752,1.7519999999999998
1953,1.765,1.7649999999999997
1954,1.778,1.778
1955,1.791,1.791
1956,1.804,1.8040000000000003
1957,1.817,1.8170000000000006
1958,1.83,1.83
1959,1.86,1.8600000000000003
1960,1.89,1.8899999999999997
1961,1.92,1.92
1962,1.95,1.9500000000000002
1963,1.98,1.98
1964,2.01,2.01
1965,2.04,2.04
1966,2.07,2.07
1967,2.1,2.1
1968,2.1,2.1
1969,2.1,2.1
1970,2.1,2.1
1971,2.1,2.1000000000000005
1972,2.1,2.1
1973,2.1,2.1
1974,2.1,2.1
1975,2.1,2.1
1976,2.1,2.1000000000000005
1977,2.1,2.1
1978,2.128,2.128
1979,2.157,2.157
1980,2.185,2.185
1981,2.213,2.213
1982,2.242,2.242
1983,2.27,2.27
1984,2.298,2.298
1985,2.327,2.327
1986,2.355,2.355
1987,2.383,2.383
1988,2.412,2.412
1989,2.44,2.44
1990,,2.538285714285714
1991,,2.558620689655172
1992,,2.5791907514450867
1993,,2.6
1994,,2.621052631578947
1995,,2.6423529411764703
1996,,2.685714285714285
1997,,2.73012048192771
1998,,2.7756097560975608
1999,,2.8222222222222215
2000,,2.869999999999999
2001,,2.89433962264151
2002,,2.9189873417721515
2003,,2.9439490445859864
2004,,2.969230769230769
2005,,2.994838709677419
2006,,3.020779220779221
2007,,3.0470588235294116
2008,,3.0736842105263156
2009,,3.1006622516556295
2010,,3.128
2011,,3.155704697986577
2012,,3.1837837837837837
2013,,3.2122448979591836
2014,,3.241095890410959
2015,,3.2703448275862073
2016,,3.3
2017,,3.3300699300699304
2018,,3.3605633802816905
2019,,3.391489361702128
2020,,3.4228571428571417
2021,,3.454676258992805
2022,,3.5032727272727264
2023,,3.536263736263736
2024,,3.586666666666666
