source=S&T 1994|units=billions_dollars|description=Book Table E.2,source=S&T 1994|units=see_registry|description=T509 subseries
year,T509-A,T509-COMBINED
1929,,13.254334455691744
1930,,11.682920764342086
1931,,9.810687075447031
1932,,7.545473195911129
1933,,7.245287037382895
1934,,8.468089269293092
1935,,9.411368494634557
1936,,10.753712765181632
1937,,11.78978602263571
1938,,11.073421165438475
1939,,11.844803249325428
1940,,13.04428020540404
1941,,16.392217894057193
1942,,21.037370515235438
1943,,25.74451259229219
1944,,28.452653177021357
1945,,28.903946557241166
1946,,28.844112154021012
1947,,31.643272021614738
1948,44.27,44.27
1949,33.55,33.55
1950,51.96,51.96
1951,56.94,56.94
1952,49.73,49.73
1953,50.96,50.96
1954,49.97,49.97
1955,65.31,65.31
1956,67.95,67.95
1957,66.06,66.06
1958,58.4,58.4
1959,74.79,74.79
1960,72.55,72.55
1961,71.27,71.27
1962,,76.55786538458118
1963,,80.80813629806708
1964,,86.76749073743039
1965,,94.09834604213025
1966,,103.11470606126903
1967,,109.0151134720362
1968,,119.24426106661402
1969,,129.00081828999535
1970,,136.06026372754616
1971,,147.6654758283841
1972,,162.14996504858513
1973,,180.69178458544775
1974,,195.88706087949498
1975,,213.59157907468574
1976,,237.48832416414535
1977,,263.90850914873295
1978,,298.1070397841372
1979,,333.0612332958028
1980,,362.2145321223958
1981,,406.5495430880687
1982,,423.88478667186047
1983,,460.67901485034923
1984,,511.83933112063306
1985,,550.0428369698813
1986,,580.5497624015268
1987,,615.4849407426775
1988,,663.8117430706375
1989,,715.1707044889
1990,,755.9346664318786
1991,,780.6524865841707
1992,,826.5675314518267
1993,,869.4444591424185
1994,,923.7869008144658
1995,,968.4741995058777
1996,,1023.4119427828441
1997,,1087.3574258683159
1998,,1148.873404001003
1999,,1220.9225189208996
2000,,1299.4906681323139
2001,,1341.4478954090027
2002,,1385.4590146369055
2003,,1452.3090016346234
2004,,1548.747101024708
2005,,1652.9503622140521
2006,,1751.3711100498213
2007,,1834.866089941641
2008,,1872.342962741614
2009,,1835.3527515390183
2010,,1907.7249975898642
2011,,1977.5437597761686
2012,,2060.480073958261
2013,,2139.927104350873
2014,,2232.144976796885
2015,,2319.2193723864257
2016,,2383.8575147498527
2017,,2486.183091234754
2018,,2618.581159888938
2019,,2730.576204116263
2020,,2709.6974201231214
2021,,3007.6479016700196
2022,,3302.8861860624784
2023,,3525.604920216503
2024,,3714.0447529477474
2025,,3901.78432033283
