source=S&T 1994|units=thousands|description=Book Table E.3,source=S&T 1994|units=thousands|description=Full series
year,T516-A,T516-COMBINED
1948,15164.05,15164.05
1949,16674.4,16674.4
1950,17548.11,17548.11
1951,18976.22,18976.22
1952,19448.48,19448.48
1953,19880.53,19880.53
1954,20302.4,20302.4
1955,20476.71,20476.71
1956,21506.07,21506.07
1957,23339.38,23339.38
1958,24852.68,24852.68
1959,26232.89,26232.89
1960,28138.84,28138.84
1961,29075.66,29075.66
1962,29530.57,29530.57
1963,30386.52,30386.52
1964,30126.86,30126.86
1965,30361.86,30361.86
1966,31405.82,31405.82
1967,33397.32,33397.32
1968,35142.29,35142.29
1969,37564.4,37564.4
1970,38954.43,38954.43
1971,39357.23,39357.23
1972,41352.24,41352.24
1973,40322.24,40322.24
1974,40254.66,40254.66
1975,40399.56,40399.56
1976,41654.05,41654.05
1977,42710.48,42710.48
1978,44554.05,44554.05
1979,49074.7,49074.7
1980,50006.19,50006.19
1981,50933.66,50933.66
1982,50723.24,50723.24
1983,51541.77,51541.77
1984,50876.15,50876.15
1985,51125.77,51125.77
1986,52383.0,52383.0
1987,53788.91,53788.91
1988,57358.96,57358.96
1989,59696.0,59696.0
1990,,60388.117071621564
1991,,59701.216974149065
1992,,59637.24531215697
1993,,60714.79109700374
1994,,62626.1820639623
1995,,64407.08482942206
1996,,65885.61469091114
1997,,67850.20882618942
1998,,69966.69894462457
1999,,71782.37581625664
2000,,73286.75209711085
2001,,73201.60677962191
2002,,72037.37604046626
2003,,72099.7149263382
2004,,72909.35673057643
2005,,73878.39605928875
2006,,74942.47768998484
2007,,75463.99670280155
2008,,74567.03317845502
2009,,70772.5411836673
2010,,70140.03445712301
2011,,71400.67385286184
2012,,72828.153864437
2013,,74362.70252234569
2014,,76000.56214188147
2015,,77919.54190965957
2016,,79530.90373538769
2017,,80870.48317604618
2018,,82314.54170982576
2019,,83623.72602604468
2020,,79138.20558198371
2021,,81878.68750757888
2022,,85809.75028047487
2023,,87706.98980542272
2024,,88470.59395993732
