Year,total_product_tp,marxian_profit_rate_r
1929,150.9026527857078,
1930,133.01186427111625,
1931,111.69619344407506,
1932,85.90638221728929,
1933,82.48871626032312,
1934,96.41050925901222,
1935,107.14988948949589,
1936,122.43268713236536,
1937,134.22854180562743,
1938,126.07261683822207,
1939,134.8549214615917,
1940,148.5111525784895,
1941,186.6279422421199,
1942,239.51372503819752,
1943,293.1052674005574,
1944,323.9378678391843,
1945,329.07591294340716,
1946,328.3946889857686,
1947,360.2635580718202,
1948,446.21,1.865
1949,431.96,1.783
1950,481.62,1.924
1951,551.62,2.012
1952,573.95,1.956
1953,605.37,1.984
1954,596.63,1.882
1955,652.91,2.053
1956,687.21,1.987
1957,717.3,1.935
1958,711.67,1.834
1959,774.29,1.958
1960,795.67,1.912
1961,811.42,1.886
1962,871.623167256305,1.984
1963,920.0131605861876,2.032
1964,987.8613348416691,2.0980000000000003
1965,1071.3242590922591,2.185
1966,1173.9769158444635,2.2230000000000003
1967,1241.1539690399832,2.136
1968,1357.614400374238,2.158
1969,1468.6943170600257,2.082
1970,1549.0671978925986,1.943
1971,1681.1943369814428,1.958
1972,1846.1024924894477,2.036
1973,2057.2039827181707,2.064
1974,2230.204559265326,1.892
1975,2431.7732439004,1.865
1976,2703.8413917955777,1.953
1977,3004.6392941415024,1.986
1978,3393.9948677093394,1.982
1979,3791.9537802845557,1.884
1980,4123.868607475156,1.756
1981,4628.629581205566,1.7819999999999998
1982,4825.994017135976,1.6840000000000002
1983,5244.902009679674,1.758
1984,5827.3701425270665,1.886
1985,6262.322979852688,1.864
1986,6609.649055813763,1.842
1987,7007.391477724475,1.868
1988,7557.599615018614,1.902
1989,8142.329353674522,1.863
1990,8606.433380611124,1.805
1991,8887.849595399575,1.724
1992,9410.599500079152,1.786
1993,9898.759969655412,1.824
1994,10517.457093571962,1.885
1995,11026.228917680079,1.908
1996,11651.703642666695,1.952
1997,12379.732881970938,1.986
1998,12888.608002164994,2.024
1999,13626.109949196238,2.0580000000000003
2000,14612.177820322268,1.984
2001,14635.90901583132,1.856
2002,14643.49321233421,1.824
2003,15305.887148836811,1.886
2004,16482.416212785472,1.985
2005,17880.599535818666,2.028
2006,18952.66240922749,2.0540000000000003
2007,19885.885556333367,1.986
2008,20504.97617731945,1.784
2009,18204.15114469205,1.685
2010,19642.33498799049,1.826
2011,21186.575256579377,1.884
2012,22092.27510992476,1.925
2013,23004.458228022617,1.958
2014,24047.774550170478,1.984
2015,23987.467955397482,1.962
2016,24247.41017424661,1.924
2017,25427.119707696485,1.986
2018,27017.599109803003,2.024
2019,27579.8082570174,1.958
2020,26007.800043167917,1.725
2021,30536.299309894835,1.984
2022,34678.616183724494,2.056
2023,35546.51738030546,1.982
2024,36793.99537928117,1.954
2025,44422.419436010445,
