year,book,combined
1952,10.994,10.994
1953,11.674,11.674
1954,13.747,13.747
1955,14.754,14.754
1956,15.593,15.593
1957,18.132,18.132
1958,22.226,22.226
1959,22.917,22.917
1960,24.428,24.428
1961,28.089,28.089
1962,28.843,28.843
1963,30.341,30.341
1964,31.317,31.317
1965,33.913,33.913
1966,37.504,37.504
1967,45.752,45.752
1968,53.306,53.306
1969,58.973,58.973
1970,71.737,71.737
1971,85.412,85.412
1972,94.808,94.808
1973,108.628,108.628
1974,128.556,128.556
1975,163.134,163.134
1976,177.643,177.643
1977,189.482,189.482
1978,203.427,203.427
1979,227.334,227.334
1980,271.498,271.498
1981,307.809,307.809
1982,343.079,343.079
1983,370.499,370.499
1984,380.909,380.909
1985,403.112,403.112
1986,428.607,428.607
1987,447.913,447.913
1988,476.864,476.864
1989,521.07,521.07
1990,,574.674
1991,,650.507
1992,,731.75
1993,,778.935
1994,,815.708
1995,,864.727
1996,,906.325
1997,,935.418
1998,,957.915
1999,,992.202
2000,,1044.876
2001,,1145.83
2002,,1251.022
2003,,1320.994
2004,,1404.471
2005,,1490.917
2006,,1593.029
2007,,1697.335
2008,,1919.349
2009,,2107.728
2010,,2281.411
2011,,2310.139
2012,,2322.586
2013,,2385.91
2014,,2498.625
2015,,2635.146
2016,,2717.282
2017,,2807.432
2018,,2925.973
2019,,3090.76
2020,,4187.512
2021,,4566.711
2022,,4012.998
2023,,4150.561
2024,,4455.695
2025,,4851.215
