year,value,source
1947,0.194485516564073,benchmark
1948,0.19527551026696527,interpolated
1949,0.19606550396985753,interpolated
1950,0.19685549767274976,interpolated
1951,0.19764549137564202,interpolated
1952,0.19843548507853428,interpolated
1953,0.19922547878142655,interpolated
1954,0.2000154724843188,interpolated
1955,0.20080546618721107,interpolated
1956,0.2015954598901033,interpolated
1957,0.20238545359299556,interpolated
1958,0.20317544729588782,benchmark
1959,0.20168924607179614,interpolated
1960,0.20020304484770443,interpolated
1961,0.19871684362361275,interpolated
1962,0.19723064239952104,interpolated
1963,0.19574444117542936,benchmark
1964,0.483009965022442,interpolated
1965,0.7702754888694545,interpolated
1966,1.0575410127164673,interpolated
1967,1.3448065365634798,benchmark
1968,1.114251727178795,interpolated
1969,0.8836969177941102,interpolated
1970,0.6531421084094253,interpolated
1971,0.42258729902474057,interpolated
1972,0.1920324896400558,benchmark
1973,0.19235338233898458,interpolated
1974,0.19267427503791335,interpolated
1975,0.19299516773684214,interpolated
1976,0.1933160604357709,interpolated
1977,0.1936369531346997,benchmark
