year,ST_e,Mohun_e,e_diff,ST_LpL,Mohun_LpL,ST_VW
1948,1.7,1.6666156153003726,0.033384384699627345,0.57,0.37500717923582627,0.54
1949,1.713,1.6541934607865207,0.058806539213479336,0.565,0.37676228759288277,0.535
1950,1.726,1.6573084152609971,0.06869158473900283,0.56,0.3763206386797151,0.53
1951,1.739,1.6734889907730608,0.06551100922693931,0.555,0.37404305888345635,0.525
1952,1.752,1.6511055765764344,0.10089442342356558,0.55,0.37720112274493905,0.52
1953,1.765,1.6517131139419527,0.11328688605804715,0.545,0.3771147017157644,0.515
1954,1.778,1.6545900344617062,0.12340996553829386,0.54,0.3767060024403273,0.51
1955,1.791,1.6413494175276484,0.14965058247235152,0.535,0.3785943629283317,0.505
1956,1.804,1.677094086877306,0.12690591312269395,0.53,0.3735393555653657,0.5
1957,1.817,1.696471720973931,0.12052827902606889,0.525,0.370854992552569,0.495
1958,1.83,1.6987829427443968,0.1312170572556033,0.52,0.370537394527586,0.49
1959,1.86,1.6699765009706176,0.19002349902938254,0.519,0.3745351315400977,0.485
1960,1.89,1.7257595722344994,0.16424042776550052,0.518,0.36687021488847926,0.48
1961,1.92,1.6927722525267508,0.22722774747324914,0.517,0.37136449213692485,0.476
1962,1.95,1.6960326230158098,0.25396737698419014,0.516,0.37091539303459536,0.472
1963,1.98,1.744036744724577,0.23596325527542295,0.514,0.3644266068676029,0.468
1964,2.01,1.7174213209368014,0.29257867906319834,0.513,0.36799593507835615,0.464
1965,2.04,1.7205369269141144,0.3194630730858856,0.512,0.36757449976402007,0.46
1966,2.07,1.721396973106275,0.3486030268937248,0.511,0.3674583347752362,0.456
1967,2.1,1.760241995736073,0.339758004263927,0.51,0.36228707538859484,0.452
1968,2.1,1.7564955032790253,0.34350449672097483,0.509,0.3627794780765783,0.448
1969,2.1,1.7704212359671447,0.32957876403285535,0.508,0.3609559394858245,0.444
1970,2.1,1.7817063031807128,0.3182936968192873,0.507,0.3594915821474613,0.44
1971,2.1,1.7345861112628795,0.36541388873712055,0.506,0.3656860524089265,0.436
1972,2.1,1.7935181237925102,0.3064818762074899,0.505,0.35797154544406157,0.432
1973,2.1,1.7968091112443716,0.3031908887556285,0.504,0.3575503226085654,0.428
1974,2.1,1.7885150956643154,0.31148490433568465,0.503,0.3586138018599348,0.424
1975,2.1,1.7861291598695883,0.3138708401304118,0.502,0.35892090517684655,0.42
1976,2.1,1.807093680395338,0.2929063196046622,0.501,0.3562403374650342,0.416
1977,2.1,1.7931724752014646,0.3068275247985355,0.5,0.35801584358941974,0.412
1978,2.128,1.7607123045076047,0.36728769549239537,0.488,0.3622253569729925,0.408
1979,2.157,1.872838368572347,0.28416163142765294,0.477,0.3480878043608658,0.404
1980,2.185,1.8033273237047769,0.38167267629522317,0.465,0.3567189573418904,0.4
1981,2.213,1.8334366620903944,0.3795633379096057,0.453,0.3529283055377143,0.396
1982,2.242,1.810924412457784,0.4310755875422161,0.442,0.3557548525915826,0.391
1983,2.27,1.8594184484590075,0.4105815515409925,0.43,0.34972146190737424,0.387
1984,2.298,1.867153545143149,0.43084645485685114,0.418,0.34877797238796737,0.382
1985,2.327,1.8576857896532608,0.46931421034673915,0.407,0.349933503403583,0.378
1986,2.355,1.8742974242176105,0.4807025757823895,0.395,0.34791110744991954,0.373
1987,2.383,1.856433678941246,0.5265663210587541,0.383,0.3500868958983343,0.369
1988,2.412,1.889900987372307,0.522099012627693,0.372,0.3460326164701122,0.364
1989,2.44,1.8734879607280632,0.5665120392719367,0.36,0.3480091142426876,0.36
