,Dairy farm products,Poultry & eggs,Meat animals & misc livestock,"Cotton, food grains, tobacco, fruits, vegetables",Coal mining,Crude petroleum & natural gas,Stone & clay mining,Chemical & fertilizer mineral mining,New construction,Maintenance & repair construction,Ordnance & accessories,Meat products,Dairy products,Canned & frozen foods,Grain mill products,Bakery products,Sugar,Confectionery products,Alcoholic beverages,Soft drinks & flavorings,Tobacco manufactures,Fabrics & yarn,"Floor covering, misc textiles",Lumber & wood products,Wooden containers,Household furniture,Other furniture & fixtures,Paper & paperboard,Paper containers & products,Printing & publishing,Basic chemicals,Synthetic materials,"Drugs, cleaning & toilet items",Paints & allied products,Petroleum refining,Rubber & plastic products,Leather tanning & finishing,Footwear & leather products,Glass & glass products,Stone & clay products,Primary iron & steel,Primary nonferrous metals,Metal containers,"Heating, plumbing, structural metal",Screw machine products,Other fabricated metal products,Engines & turbines,Farm machinery,Construction & mining machinery,Materials handling equipment,Metalworking machinery,Special industry machinery,General industrial machinery,Machine shop products,Office & computing machines,Service industry machines,Electric industrial equipment,Household appliances,Electric lighting & wiring,"Radio, TV, communication equipment",Electronic components,Misc electrical machinery,Motor vehicles & equipment,Aircraft & parts,Transportation & warehousing,Communications except radio & TV,Radio & TV broadcasting,"Electric, gas, water & sanitary services",Wholesale trade,Retail trade,Finance & insurance,Real estate & rental,Hotels & personal services,Business services,Eating & drinking places,Automobile repair & services,Amusements,"Medical, educational services & nonprofit orgs",Federal government enterprises,State & local government enterprises,Gross imports of goods & services,"Business travel, entertainment, gifts",Office supplies,"Scrap, used & secondhand goods",Government industry
Dairy farm products,0.18312,0.05074,0.04951,0.06344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22109,0.0,0.00631,0.03415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00095,0.0,0.0,0.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,0.0,0.0,0.0,0.00995,0.0,0.0,0.0,0.0,0.00539,0.00036,0.0,0.0,0.0,0.00276,0.0,0.0,0.0,0.0
Poultry & eggs,0.2735,0.0317,0.05398,0.18986,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.00013,0.0,0.07693,0.17924,0.07228,0.00506,0.0,0.0,0.00955,0.0,0.0,0.0,0.0,0.0,0.0,0.00156,0.0,0.0,0.01994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00137,0.0,0.00108,0.00078,0.0,0.0,0.0,6e-05,0.0,0.01059,0.00032,0.0,0.0,0.0,0.02108,0.00055,0.0,0.00025,0.0,0.01028,0.0,0.0,0.0,0.0
Meat animals & misc livestock,0.0,0.0,0.01753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00472,0.0,0.0,0.0,0.00733,0.0,0.0776,0.0,0.0,0.0,0.0,0.0,0.0,0.00054,4e-05,0.00014,0.00034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026,5e-05,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00447,0.0,0.0,0.0,0.0
"Cotton, food grains, tobacco, fruits, vegetables",0.01969,0.04677,0.02303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00202,0.00081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00085,0.0,0.0014,0.0,0.0,0.0,0.0,0.00257,0.0,0.0,0.00012,0.0,0.0,0.0,0.0,0.0,0.0
Coal mining,0.0,0.0,0.0,0.0,0.0527,0.00268,9e-05,0.0,0.0,0.00117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088,0.04717,0.00022,0.0,0.0,0.0,6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crude petroleum & natural gas,0.0,0.0,0.0,0.0,0.01904,0.12969,0.0,0.0,0.00195,0.00273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00112,0.0018,0.05042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00217,0.0,0.0,0.0,0.00042,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.0,9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stone & clay mining,0.00013,3e-05,0.0,0.00015,0.00017,0.00037,0.12636,2e-05,0.00234,0.00029,0.0,0.0,0.00023,0.00044,0.00028,0.00085,0.00039,0.00011,0.0003,0.00024,0.00018,0.00039,0.00032,0.00416,0.0001,3e-05,0.00305,0.00355,0.00033,7e-05,0.00037,0.0007,0.00156,9e-05,0.0005,0.00507,0.0203,0.00058,0.00012,8e-05,0.00031,0.00022,0.0005,0.00052,0.0004,0.00028,9e-05,0.00016,0.00019,0.00013,9e-05,0.00021,0.00032,0.0004,0.00022,9e-05,9e-05,0.00029,0.00036,0.0001,0.00024,6e-05,0.0,0.00018,0.00013,2e-05,9e-05,0.02399,2e-05,3e-05,0.00032,0.00026,1e-05,0.0,2e-05,2e-05,0.0002,0.0093,0.0072,0.0,0.0,0.0,0.0,0.0,0.0
Chemical & fertilizer mineral mining,0.0,0.0,0.0,0.0,0.0,0.0,0.00035,0.02487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00212,0.0,0.0,0.0,0.4284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048,0.0,0.0,0.06756,0.0,0.0,0.00145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New construction,6e-05,0.00417,0.0,0.0,0.00229,0.00274,0.00101,0.0,0.02692,0.00711,0.00838,0.01114,0.0,9e-05,0.0,2e-05,0.0,0.0,0.0,0.00012,0.0,0.0,0.0,0.00339,0.0,0.0,0.0026,6e-05,0.00026,0.00607,0.00234,0.00052,0.0,0.0,0.01113,0.07227,0.00209,0.00018,0.0,6e-05,0.0,0.00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045,0.0,0.00046,0.0,0.0,0.0,0.0,3e-05,0.0,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maintenance & repair construction,0.0,0.00043,0.0,0.0,0.00275,0.00152,0.0,0.0,0.00072,0.05948,0.0,0.0,0.0,5e-05,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00155,0.0,0.0,0.02621,4e-05,0.00098,0.0,1e-05,0.00081,0.0,0.0,0.00108,0.00377,0.00083,0.00013,0.0,0.0,0.0,0.00054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,0.0,0.0,0.0,0.0,0.0,6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041,0.0,0.0,0.0,0.0,0.0,0.0
Ordnance & accessories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meat products,0.00761,0.01296,0.0,0.0,0.01726,0.00951,0.00737,0.03168,0.00764,0.00818,0.00032,0.00016,0.00227,0.00287,0.00092,0.00322,0.00238,0.0011,0.00084,0.00493,0.00221,0.00349,0.0039,0.00715,0.00424,0.00355,0.00695,0.00627,0.00385,0.00405,0.01347,0.00361,0.00202,0.0013,0.00834,0.00896,0.00919,0.00333,0.00069,0.00321,0.00392,0.00303,0.00311,0.00267,0.0037,0.00232,0.00324,0.00324,0.00342,0.00261,0.0023,0.00248,0.00321,0.00319,0.00274,0.00265,0.00338,0.00265,0.00239,0.00295,0.00282,0.00294,0.00421,0.00249,0.02474,0.02934,0.00195,0.03047,0.00322,0.00282,0.06321,0.00905,0.00459,0.0,0.00224,0.0108,0.01523,0.00785,0.17735,0.0,0.0,0.0,0.0,0.0,0.0
Dairy products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07154,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.00055,0.00129,0.00312,0.0,0.0,0.0002,0.00047,0.0,0.0,0.0,0.0,0.00017,0.0,0.0,0.0,0.0,7e-05,0.0,9e-05,0.00099,0.00042,0.00116,0.00622,0.00077,0.00124,0.00035,0.00025,0.00222,0.00055,0.00048,0.00013,0.00027,0.00193,4e-05,0.00134,0.00926,0.00022,6e-05,0.00046,0.01848,0.00358,0.00344,0.00023,0.00057,0.0,0.0,0.0,1e-05,0.00023,0.0,0.0001,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00144,0.0,0.01401,0.0,0.0
