year,value
1990,532.2785515917901
1991,564.0916745415683
1992,588.5256529346096
1993,602.367232800373
1994,622.049255417623
1995,640.9347009237272
1996,658.4189790799938
1997,685.161852228597
1998,711.5903609076851
1999,758.6439856125677
2000,807.0117660730473
2001,863.4643270512996
2002,923.9053872365215
2003,980.3557027542773
2004,1039.6033006855912
2005,1101.413530408575
2006,1163.6835181682245
2007,1234.1791890918043
2008,1321.1391377411
2009,1366.0421726554266
2010,1409.6142108604322
2011,1409.7624112532037
2012,1412.0797264856271
2013,1420.671981075617
2014,1438.372384804675
2015,1461.7880468625378
2016,1489.5116248830022
2017,1524.5071267214942
2018,1605.3538091689745
2019,1690.8631903375087
2020,1785.2017221784172
2021,1895.3875914736184
2022,2000.4178834687762
2023,2114.032570942186
2024,2240.879757121674
2025,2337.375053769504
