sector,employment,gross_output,hp_star
Dairy farm products,3479.7791670689085,33775.899999999994,0.10302550537717453
Poultry & eggs,1594.8245206881245,15479.900000000003,0.10302550537717454
Meat animals & misc livestock,72.52995578553089,704.0000000000001,0.10302550537717454
"Cotton, food grains, tobacco, fruits, vegetables",188.86635645743638,1833.2000000000003,0.10302550537717453
Coal mining,370.4998705798025,721.1,0.5137981841350749
Crude petroleum & natural gas,501.4670277158332,976.0000000000001,0.5137981841350749
Stone & clay mining,1157.8442079483905,2253.499999999998,0.5137981841350749
Chemical & fertilizer mineral mining,3131.188893755974,6094.200000000001,0.5137981841350749
New construction,3891.893770132273,1113.8999999999996,3.4939346172298
Maintenance & repair construction,1206.106229867727,345.20000000000005,3.4939346172297996
Ordnance & accessories,2423.5708466994147,74612.8,0.03248197154776948
Meat products,496.2693058982864,15278.299999999997,0.03248197154776948
Dairy products,99.2356712755905,3055.099999999999,0.03248197154776948
Canned & frozen foods,2783.406127505604,85690.79999999997,0.03248197154776948
Grain mill products,155.89722244351967,4799.500000000002,0.03248197154776948
Bakery products,398.4238630049406,12266.000000000004,0.03248197154776948
Sugar,143.5248394809742,4418.599999999999,0.03248197154776948
Confectionery products,649.892790333462,20007.799999999996,0.03248197154776948
Alcoholic beverages,108.11299409959585,3328.3999999999974,0.03248197154776948
Soft drinks & flavorings,433.8519493720926,13356.699999999999,0.03248197154776948
Tobacco manufactures,9.803059013116833,301.8000000000001,0.03248197154776948
Fabrics & yarn,140.94577094008127,4339.199999999998,0.03248197154776948
"Floor covering, misc textiles",67.09800862622741,2065.7,0.03248197154776948
Lumber & wood products,395.82205708396424,12185.900000000005,0.032481971547769474
Wooden containers,161.74722551927286,4979.5999999999985,0.03248197154776948
Household furniture,500.4594802279488,15407.300000000003,0.03248197154776948
Other furniture & fixtures,439.49406782994015,13530.4,0.03248197154776948
Paper & paperboard,193.15404380881108,5946.499999999996,0.03248197154776948
Paper containers & products,335.32763327339825,10323.5,0.03248197154776948
Printing & publishing,76.34562592587739,2350.4,0.03248197154776948
Basic chemicals,776.1209799652489,23893.899999999994,0.032481971547769474
Synthetic materials,350.1524050878001,10779.899999999998,0.032481971547769474
"Drugs, cleaning & toilet items",25.35542699018886,780.6000000000001,0.03248197154776948
Paints & allied products,84.35568010955738,2597.0000000000014,0.03248197154776948
Petroleum refining,84.51159357298663,2601.7999999999997,0.03248197154776948
Rubber & plastic products,258.54350073162567,7959.599999999992,0.032481971547769474
Leather tanning & finishing,706.8141972737735,21760.2,0.03248197154776948
Footwear & leather products,585.7636339067009,18033.5,0.03248197154776948
Glass & glass products,262.04318535624833,3369.499999999998,0.07776916021850377
Stone & clay products,724.6996964121491,9318.599999999999,0.07776916021850377
Primary iron & steel,469.780166131916,6040.7000000000035,0.07776916021850377
Primary nonferrous metals,552.1921452154643,7100.400000000001,0.07776916021850377
Metal containers,230.3833602312956,2962.3999999999996,0.07776916021850379
"Heating, plumbing, structural metal",245.22949291700786,3153.299999999999,0.07776916021850377
Screw machine products,329.0179861364238,4230.699999999999,0.07776916021850377
Other fabricated metal products,117.26033977745999,1507.8,0.07776916021850377
Engines & turbines,221.97651401167525,2854.299999999999,0.07776916021850377
Farm machinery,225.1261650005246,2894.7999999999984,0.07776916021850377
Construction & mining machinery,310.7344565690537,3995.6,0.07776916021850377
Materials handling equipment,152.52865393655148,1961.3000000000002,0.07776916021850377
Metalworking machinery,354.7440243367049,4561.499999999999,0.07776916021850377
Special industry machinery,379.1868713933807,4875.8,0.07776916021850377
General industrial machinery,408.3658603073633,5250.999999999999,0.07776916021850377
Machine shop products,300.86555013732556,3868.7,0.07776916021850377
Office & computing machines,214.28514406606527,2755.399999999999,0.07776916021850379
Service industry machines,750.3401885361902,9648.300000000003,0.07776916021850377
Electric industrial equipment,332.1287525451642,4270.700000000002,0.07776916021850377
Household appliances,174.45955711816956,2243.3,0.07776916021850379
Electric lighting & wiring,3404.8271573583565,43781.19999999998,0.07776916021850379
"Radio, TV, communication equipment",714.371951935132,9185.8,0.07776916021850377
Electronic components,628.9736370991928,8087.699999999998,0.07776916021850377
