Chapter,Figure_Number,Figure_Title,Page_Number
5,1,Classification of human economic activities,92
5,2,Classification of labour under capitalism,103
5,3,Classification of wage labourers under capitalism,117
8,1,Flows of surplus-value,166
8,2,Profit upon alienation,168
9,1,Productive labour for capital,187
9,2,Rates of exploitation of productive and unproductive workers,192
9,3,Rates of exploitation in trade finance and public sectors,192
10,1,Social wage and economic crisis in English-language books,201
10,2,Capitalist production—the "mixed economy",204
10,3,Capitalist production and the state—the "mixed economy",204
10,4,Capitalist productive and unproductive activities,205
10,5,State intervention in profits,206
10,6,State intervention in labour income,206
10,7,Benefit ratio tax ratio and net social wage ratio (as a percentage of GDP) 1980–2019,218
10,8,Benefit ratio tax ratio and net social wage ratio (as percentage of labour income) 1980–2019,218
10,9,The relationship between the net social wage and the growth rate in Turkey 1980–2019,220
10,10,The net social wage and the rate of unemployment 2002–2019,220
10,11,The impact of the net social wage on the rate of surplus-value in Turkey 1988–2006,221
11,1,U.S.A. I-O networks,244
11,2,Germany I-O networks,245
11,3,Spain I-O networks,246
12,1,Facebook and surplus-value production,261
14,1,Developing economies FDI share with and without China,323
14,2,Leading factors for foreign direct investment,324
14,3,Foreign profits as percentage of total US-profits and domestic US-wages 1998–2018,325
15,1,Lost GDP compared to the previous average rate of growth 2008–2013,340
15,2,The annual rate of growth of the net capital stock in the advanced countries 1981–2015,340
15,3,The annual growth rate of labour productivity of the G7 1971–2020,341
15,4,Interest rate policy of central banks of advanced countries Q1 2008 to Q3 2018,342
15,5,Total government expenditure in the United States and Eurozone countries Q1 2006 to Q3 2014,342
15,6,The G7's debt-to-GDP ratio 1950–2012,343
15,7,US private debt-to-GDP (%) 1951–2014,344
15,8,The rate of profit of the G20 1950–2019,366
