Year,Rank,Sector,CB_Value
1995,1,Motor Vehicles,17.6
1995,2,Food,11.54
1995,3,Trade,7.87
1995,4,Construction,7.52
1995,5,Machine,6.54
1995,6,Health,5.76
1995,7,Transportation,5.68
1995,8,Agriculture,5.05
1995,9,Chemicals,4.56
1995,10,Hotels-Restaurant,4.47
2005,1,Motor Vehicles,51.20
2005,2,Food,9.08
2005,3,Machine,8.44
2005,4,Trade,7.92
2005,5,Transportation,6.00
2005,6,Construction,5.70
2005,7,Chemicals,4.72
2005,8,Public Administration,4.33
2005,9,Real Estate,3.85
2005,10,Other Business,3.42
