Region,Country,Study,Year_Start,Rate_Start,Year_End,Rate_End,Additional_Notes
North,USA,Shaikh and Tonak (1994),1948,170%,1989,244%,
North,USA,Mohun (2005),1980,200%,2001,300%,
North,USA,Venida (2007),1947,100%,1967,112%,
South,Greece,Tsoulfidis and Tsaliki (2014),1970,150%,2006,200%,
South,Turkey,Karahanoğulları (2009),1988,254%,2006,312%,Average during period: 239%
South,Turkey,Tonak (1980),1950,376%,1975,352%,
South,Philippines,Venida (2007),1961,137%,1994,243%,
South,Mexico,Venida (2007),1970,217%,1976,292%,
South,Puerto Rico,Venida (2007),1948,97%,1963,93%,
Manufacturing_North,USA,Amsden (1981),1969-1977,249%,,,Manufacturing average 1969-1977
Manufacturing_North,Germany,Amsden (1981),1969-1977,259%,,,Manufacturing average 1969-1977
Manufacturing_North,Sweden,Amsden (1981),1969-1977,220%,,,Manufacturing average 1969-1977
Manufacturing_North,Canada,Amsden (1981),1969-1977,202%,,,Manufacturing average 1969-1977
Manufacturing_South,Egypt,Amsden (1981),1969-1977,262%,,,Manufacturing average 1969-1977
Manufacturing_South,Turkey,Amsden (1981),1969-1977,388%,,,Manufacturing average 1969-1977
Manufacturing_South,India,Amsden (1981),1969-1977,244%,,,Manufacturing average 1969-1977
Manufacturing_South,South Korea,Amsden (1981),1969-1977,465%,,,Manufacturing average 1969-1977
Manufacturing_South,Bolivia,Amsden (1981),1969-1977,346%,,,Manufacturing average 1969-1977
Manufacturing_South,Panama,Amsden (1981),1969-1977,402%,,,Manufacturing average 1969-1977
Manufacturing_South,Puerto Rico,Amsden (1981),1969-1977,303%,,,Manufacturing average 1969-1977
Manufacturing_South,Malawi,Amsden (1981),1969-1977,352%,,,Manufacturing average 1969-1977
