"Sources^a","Variables","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961"
"Table D.2","TP*","446.21","431.96","481.62","551.62","573.95","605.37","596.63","652.91","687.21","717.30","711.67","774.29","795.67","811.42"
"Table D.2","M'_p (=C*_m)","198.47","189.06","212.56","244.59","254.35","268.66","261.36","287.18","303.11","314.63","308.00","334.93","343.72","347.54"
"Table D.2","M'_u","21.68","21.36","22.74","24.73","25.42","25.97","26.38","28.43","29.84","31.18","31.61","34.00","34.61","35.24"
"Table D.2","M'_y","4.86","5.31","5.86","6.54","7.25","8.10","8.78","9.53","10.47","11.39","12.32","13.61","14.49","15.42"
"","GFP=TP*-C*_m","247.74","242.90","269.06","307.03","319.61","336.71","335.26","365.74","384.10","402.67","403.67","439.36","451.95","463.88"
"101 2","CON*","158.46","160.16","171.79","185.65","194.14","204.41","209.09","224.27","234.18","246.03","251.64","269.19","279.74","286.69"
"101 2","CON","174.90","173.80","192.10","208.10","219.10","232.60","239.80","257.90","270.60","285.30","294.60","316.30","330.70","341.10"
"Table E.1","GVA_ir","8.40","9.40","10.70","12.20","14.00","15.90","17.70","19.40","21.00","22.90","24.90","27.00","29.30","31.30"
"Table D.2","RY_con","6.90","7.48","8.20","9.07","9.98","11.07","11.90","12.82","13.99","15.10","16.21","18.18","19.65","21.24"
"601 73","HH_con","2.40","2.40","2.60","2.70","2.60","2.70","2.60","3.10","3.30","3.30","3.50","3.60","3.80","3.70"
"Table D.2","ROW_con","-1.27","-1.14","-1.18","-1.52","-1.61","-1.48","-1.49","-1.69","-1.87","-2.02","-1.65","-1.67","-1.79","-1.83"
"","IG*","44.27","33.55","51.96","56.94","49.73","50.96","49.97","65.31","67.95","66.06","58.40","74.79","72.55","71.27"
"101 6","IG","47.10","36.50","55.10","60.50","53.50","54.90","54.10","69.70","72.70","71.10","63.60","80.20","78.20","77.10"
"Table D.2","RY_i","0.05","0.06","0.06","0.07","0.08","0.08","0.09","0.10","0.10","0.11","0.12","0.13","0.13","0.13"
"Table E.1","ABR","2.77","2.89","3.07","3.49","3.69","3.86","4.04","4.30","4.65","4.93","5.09","5.28","5.52","5.69"
"","(X-IM)*","4.06","3.76","-0.71","0.67","-0.98","-2.69","-1.55","-1.85","-0.24","1.09","-2.03","-4.14","-0.37","0.48"
"101 15","X-IM","7.00","6.50","2.20","4.50","3.20","1.30","2.60","3.00","5.30","7.30","3.30","1.50","5.90","7.20"
"Table D.2","RY_x-im","0.07","0.09","0.10","0.12","0.15","0.17","0.20","0.23","0.26","0.30","0.34","0.37","0.39","0.41"
"Table D.2","ROW_x-im","2.87","2.65","2.81","3.71","4.04","3.81","3.95","4.62","5.27","5.91","4.99","5.27","5.88","6.31"
"","G*","14.40","18.76","17.42","32.50","44.06","49.96","42.59","40.05","41.89","46.93","51.73","51.92","50.93","54.77"
"301 7","G","32.60","39.00","38.80","60.40","75.80","82.70","76.00","75.30","79.60","87.30","95.40","97.90","100.60","108.40"
"Table D.2","RY_G","0.20","0.25","0.31","0.39","0.47","0.57","0.67","0.78","0.91","1.05","1.20","1.68","2.17","2.71"
"301 8","W_G","18.10","20.10","21.20","27.70","31.50","32.40","33.00","34.80","37.20","39.80","42.90","44.80","48.10","51.60"
"Table D.2","ROW_s","-0.10","-0.11","-0.13","-0.19","-0.22","-0.23","-0.26","-0.33","-0.40","-0.49","-0.44","-0.50","-0.59","-0.68"
"Table E.1","C*_d","9.42","9.29","10.81","12.85","13.80","15.04","15.08","17.07","18.54","19.79","19.92","21.44","21.78","21.80"
"","FP*=GFP*-C*_d","238.32","233.60","258.25","294.18","305.81","321.68","320.18","348.67","365.56","382.88","383.75","417.91","430.16","442.08"
