"","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966"
"1","1,485,000.00","1,512,853.50","1,489,299.20","1,409,408.00","1,485,120.00","1,486,717.60","1,466,375.40","1,508,487.30","1,534,656.40","1,569,672.00","1,640,386.40","1,708,011.40"
"2","39.60","39.30","38.80","38.50","39.00","38.60","38.60","38.70","38.80","38.70","38.80","38.60"
"3","37,500.00","38,495.00","38,384.00","36,608.00","38,080.00","38,516.00","37,989.00","38,979.00","39,553.00","40,560.00","42,278.00","44,249.00"
"4","1,032,778.60","1,052,112.30","1,031,952.50","958,322.50","1,015,936.60","1,008,764.60","993,639.10","1,027,767.20","1,046,407.90","1,070,193.80","1,123,356.20","1,178,402.80"
"5","381,195.00","388,380.30","384,020.10","375,809.60","391,375.60","398,159.00","391,962.20","397,280.00","402,336.00","411,935.10","428,196.60","438,522.00"
"6","39.40","39.10","38.70","38.60","38.80","38.60","38.30","38.20","38.10","37.90","37.70","37.10"
"7","9,675.00","9,933.00","9,923.00","9,736.00","10,087.00","10,315.00","10,234.00","10,400.00","10,560.00","10,869.00","11,358.00","11,820.00"
"8","71,026.40","72,360.90","73,326.60","75,275.90","77,807.80","79,794.00","80,774.10","83,440.10","85,912.50","87,543.10","88,833.60","91,086.60"
"9","37.60","36.90","36.70","37.10","37.30","37.20","36.90","37.30","37.50","37.30","37.20","37.30"
"10","1,889.00","1,961.00","1,998.00","2,029.00","2,086.00","2,145.00","2,189.00","2,237.00","2,291.00","2,347.00","2,388.00","2,442.00"
"11","25,936.00","26,601.00","26,463.00","24,843.00","25,907.00","26,056.00","25,566.00","26,342.00","26,702.00","27,344.00","28,532.00","29,987.00"
"12","2,070.65","2,056.68","2,027.79","2,005.91","2,039.17","2,013.19","2,021.01","2,028.85","2,037.80","2,035.18","2,047.33","2,043.45"
"13","2,049.77","2,052.51","2,038.20","2,059.53","2,056.04","2,059.73","2,055.10","2,057.79","2,054.85","2,058.45","2,038.63","2,022.79"
"14","2,060.22","2,054.57","2,033.15","2,034.46","2,048.14","2,038.21","2,039.64","2,044.68","2,047.17","2,048.07","2,042.52","2,031.97"
"15","63,366.00","64,522.00","64,779.00","62,765.00","64,099.00","64,989.00","64,740.00","66,091.00","66,655.00","67,874.00","70,128.00","73,301.00"
"16","31,714.45","31,864.18","31,433.17","29,348.97","30,020.46","30,046.71","29,363.23","29,936.58","30,013.06","30,279.87","31,365.18","32,565.57"
"17","31,651.55","32,657.82","33,345.83","33,416.03","34,078.54","34,942.29","35,376.77","36,154.42","36,641.94","37,594.13","38,762.82","40,735.43"
"18","0.99","1.00","1.01","1.03","1.01","1.02","1.02","1.01","1.01","1.01","1.00","0.99"
"19","4,177.14","4,404.69","4,610.83","4,834.57","5,051.31","5,269.27","5,425.74","5,679.79","5,913.26","6,242.06","6,403.30","6,723.18"
"20","3,800.09","4,042.90","4,231.17","4,351.67","4,649.18","4,800.21","4,976.64","5,195.52","5,422.92","5,680.27","6,007.47","6,358.51"
"21","1.10","1.09","1.09","1.11","1.09","1.10","1.09","1.09","1.09","1.10","1.07","1.06"
"22","0.90","0.92","0.92","0.92","0.93","0.93","0.93","0.93","0.92","0.92","0.93","0.94"
"23","1.90","1.84","1.88","2.01","1.99","1.99","2.03","2.06","2.07","2.12","2.10","2.08"
"24","1.61","1.60","1.66","1.78","1.78","1.78","1.83","1.84","1.84","1.87","1.89","1.88"
"25","0.85","0.87","0.88","0.89","0.89","0.90","0.90","0.89","0.89","0.88","0.90","0.91"
