Table_Reference,Turkish_Title,English_Title
1.24,"Ekonomik faaliyet ve cinsiyete göre istihdam edilen nüfusun toplam içindeki oranı [15 ve daha yukarı yaştaki nüfus]","Share in total population, employed population by economic activity and sex [Population 15 years of age and over]"
Units: Percent (%)

Census_Year,Sex,Total,Agriculture_Hunting_Forestry_Fishing,Mining_Quarrying,Manufacturing,Electricity_Gas_Water,Construction,Wholesale_Retail_Trade_Restaurants_Hotels,Transport_Communication_Storage,Finance_Insurance_RealEstate_Business,Community_Social_Personal_Services,Activities_Not_Adequately_Defined
1955,Total,100,77.4,0.5,6.0,0.1,1.6,2.5,1.6,0.3,4.1,6.0
1960,Total,100,74.9,0.6,6.8,0.1,2.2,2.7,1.9,0.4,5.2,5.1
1965,Total,100,71.9,0.6,7.1,0.2,2.6,2.5,2.1,0.4,6.2,6.4
1970,Total,100,66.1,0.8,8.8,0.1,3.1,4.7,2.5,1.0,10.9,2.0
1975,Total,100,65.2,0.7,8.7,0.1,3.3,4.9,3.0,1.4,11.4,1.4
1980,Total,100,57.9,0.8,11.0,0.2,4.4,6.2,3.1,1.7,13.8,1.0
1985,Total,100,57.0,0.7,10.9,0.1,3.9,7.1,3.2,2.0,14.6,0.5
1990,Total,100,52.1,0.6,12.0,0.4,5.3,8.2,3.5,2.4,14.9,0.6
2000,Total,100,47.8,0.4,12.6,0.4,4.7,9.8,3.3,3.2,17.7,0.1
1955,Male,100,63.6,0.9,8.7,0.2,2.9,4.3,2.7,0.4,6.3,10.1
1960,Male,100,61.1,1.0,9.6,0.2,3.7,4.5,3.1,0.5,7.8,8.3
1965,Male,100,58.4,1.0,10.5,0.3,4.1,3.9,3.3,0.6,8.7,9.2
1970,Male,100,52.3,1.2,10.9,0.2,4.8,7.2,3.9,1.3,15.5,2.7
1975,Male,100,53.3,1.0,11.0,0.2,5.0,7.1,4.4,1.6,14.8,1.6
1980,Male,100,42.0,1.2,14.5,0.3,6.8,9.2,4.6,2.0,18.4,1.2
1985,Male,100,41.2,1.1,14.4,0.2,5.9,10.3,4.7,2.3,19.1,0.7
1990,Male,100,36.3,0.9,14.9,0.5,8.1,11.7,5.1,2.7,18.9,0.8
2000,Male,100,32.4,0.6,16.0,0.5,7.2,13.2,4.8,3.3,21.8,0.2
1955,Female,100,95.6,0.0,2.3,0.0,0.0,0.2,0.1,0.1,1.1,0.5
1960,Female,100,95.0,0.0,2.7,0.0,0.0,0.1,0.1,0.2,1.4,0.4
1965,Female,100,94.1,0.0,1.5,0.0,0.0,0.1,0.1,0.2,2.0,1.8
1970,Female,100,89.0,0.1,5.1,0.0,0.2,0.5,0.3,0.6,3.3,0.9
1975,Female,100,87.5,0.0,4.3,0.0,0.1,0.8,0.3,0.9,4.9,1.1
1980,Female,100,86.5,0.0,4.6,0.0,0.1,0.8,0.4,1.2,5.8,0.7
1985,Female,100,85.6,0.0,4.5,0.0,0.1,1.2,0.5,1.4,6.4,0.2
1990,Female,100,81.3,0.0,6.7,0.1,0.1,1.7,0.5,2.0,7.4,0.3
2000,Female,100,75.2,0.0,6.6,0.1,0.2,3.7,0.7,2.9,10.5,0.1

Note: Unknown ages included in 15+ population. Does not cover unemployed job-seekers in 1980, 1985, 1990 and 2000.
