Table 8.10 - Employed persons by number of employees at work place [15+ age] (Bin-Thousand)
Source: TurkStat Household Labour Force Survey Results
Note: Size categories 1-4 individual workers; 5-9, 10-24 shown as ranges; 25+ is large establishments.
Year,Sex,Total,Size_1,Size_2,Size_3,Size_4,Size_5to9,Size_10to24,Size_25plus
1988,Total,17753,2151,3324,2347,2065,2866,5000,
1989,Total,18224,2009,3490,2685,2133,3126,4781,
1990,Total,18538,2023,3671,2640,2140,3041,5024,
1991,Total,19288,2095,3638,2620,2294,3536,5107,
1992,Total,19459,2197,3670,2725,2232,3232,5404,
1993,Total,18501,2354,3465,2436,1965,2980,1709,3593
1994,Total,20008,2351,3771,2719,2321,3582,1705,3559
1995,Total,20587,2272,3972,2909,2283,3409,1953,3790
1996,Total,21195,2159,4187,2790,2328,3603,2139,3991
1997,Total,21204,2436,4063,2806,2191,3355,2068,4288
1998,Total,21779,2371,4311,2781,2172,3394,2131,4620
1999,Total,22047,2379,4319,2836,2325,3772,2073,4345
2000,Total,21581,2729,4130,2801,2059,3000,2161,4701
2001,Total,21525,2661,4265,2799,2118,2818,2055,4809
2002,Total,21354,2802,4216,2653,1884,2824,1328,5647
2003,Total,21147,2906,4274,2498,1713,2728,1398,5630
1988,Male,12519,1884,2106,1487,1191,1822,4029,
1989,Male,12549,1676,2209,1624,1247,1903,3890,
1990,Male,12901,1710,2398,1603,1264,1868,4059,
1991,Male,13394,1780,2298,1598,1320,2217,4182,
1992,Male,13681,1813,2384,1710,1340,2071,4364,
1993,Male,13723,2049,2407,1665,1287,1991,1389,2936
1994,Male,14192,1912,2506,1798,1419,2314,1358,2886
1995,Male,14629,1925,2621,1902,1406,2228,1553,2995
1996,Male,15067,1842,2753,1827,1422,2367,1686,3171
1997,Male,15400,2061,2681,1880,1392,2323,1680,3384
1998,Male,15686,2001,2810,1877,1403,2281,1709,3607
1999,Male,15713,1909,2875,1903,1444,2545,1624,3415
2000,Male,15780,2251,2796,1936,1381,2134,1687,3595
2001,Male,15555,2087,2838,1897,1399,1978,1619,3737
2002,Male,15232,2103,2753,1791,1235,1994,1033,4323
2003,Male,15256,2231,2786,1697,1108,1991,1096,4347
1988,Female,5234,267,1218,860,874,1044,971,
1989,Female,5675,333,1281,1061,886,1223,891,
1990,Female,5636,313,1273,1037,876,1173,965,
1991,Female,5894,315,1340,1022,974,1319,925,
1992,Female,5778,384,1286,1016,892,1161,1040,
1993,Female,4778,305,1059,771,678,989,320,657
1994,Female,5816,439,1266,922,902,1268,347,673
1995,Female,5958,347,1351,1007,877,1182,400,795
1996,Female,6128,317,1434,963,906,1236,453,820
1997,Female,5805,375,1382,926,799,1032,388,904
1998,Female,6093,370,1502,904,769,1113,422,1014
1999,Female,6335,471,1444,933,881,1228,449,930
2000,Female,5801,478,1334,865,678,866,474,1106
2001,Female,5970,574,1427,902,719,840,436,1072
2002,Female,6122,699,1463,862,649,830,295,1324
2003,Female,5891,675,1488,801,605,737,302,1283
