Table 11.14 - Basic Indicators on Enterprises by Economic Activity (NACE Rev.1.1) 2006 - Part 1 (Employment & Personnel Costs)
Source: TurkStat Statistical Indicators 1923-2011 chunk_007 page 282
Unit: Enterprises=count; Persons_Employed=count; Employees=count; Personnel_Costs=Million_TL
Year: 2006
NACE_Code,Activity_TR,Activity_EN,Number_of_Enterprises,Number_of_Persons_Employed,Number_of_Employees,Personnel_Costs_Million_TL
Total,Genel toplam,General total,2473841,9419476,6747521,87836550093
C,Madencilik ve taşocakçılığı,Mining and quarrying,2164,93956,92076,1843205491
D,İmalat,Manufacturing,309841,2684240,2368861,34267726286
E,Elektrik gaz buhar ve sıcak su üretimi ve dağıtımı,Electricity gas and water supply,2915,97377,97248,2962599053
F,İnşaat,Construction,94138,648047,549129,4664693443
G,Toptan ve perakende ticaret motorlu taşıt onarımı,Wholesale and retail trade repair of motor vehicles,1132558,3011099,1704201,18056352271
H,Oteller ve lokantalar,Hotels and restaurants,207496,578154,363414,3278669360
I,Ulaştırma depolama ve haberleşme,Transport storage and communications,429554,1039525,599832,10274229762
K,Gayrimenkul kiralama ve iş faaliyetleri,Real estate renting and business activities,137529,753644,621442,7686499862
M,Eğitim,Education,7643,143151,135030,1978148314
N,Sağlık işleri ve sosyal hizmetler,Health and social work,39133,156746,119536,1703640763
O,Diğer sosyal toplumsal ve kişisel hizmet faaliyetleri,Other community social and personal service activities,110870,213537,96752,1120785488
