Table 11.14 - Basic Indicators on Enterprises by Economic Activity (NACE Rev.2) 2009 - Part 1 (Employment & Personnel Costs)
Source: TurkStat Statistical Indicators 1923-2011 chunk_008 page 288
Unit: Enterprises=count; Persons_Employed=count; Employees=count; Personnel_Costs=TL (note: unit changed from Million TL to TL in 2009 table)
Year: 2009
NOTE: Classification switched from NACE Rev.1.1 to NACE Rev.2 from 2009 onwards
NACE_Code,Activity_TR,Activity_EN,Number_of_Enterprises,Number_of_Persons_Employed,Number_of_Employees,Personnel_Costs_TL
Total,Genel Toplam,General Total,2483300,9526769,6921035,119425401816
B,Madencilik ve taşocakçılığı,Mining and quarrying,2393,101411,99150,2537522137
C,İmalat,Manufacturing,320815,2584773,2264238,41620946470
D,Elektrik gaz buhar ve iklimlendirme üretimi ve dağıtımı,Electricity gas steam and air conditioning supply,279,62139,62001,2661780587
E,Su temini kanalizasyon atık yönetimi,Water supply sewerage waste management and remediation activities,2942,69006,68771,1812809147
F,İnşaat,Construction,106878,681797,582447,6858500182
G,Toptan ve perakende ticaret motorlu kara taşıtlarının onarımı,Wholesale and retail trade repair of motor vehicles and motorcycles,1052078,2801965,1664025,23913198352
H,Ulaştırma ve depolama,Transportation and storage,408190,923375,482540,10741757670
I,Konaklama ve yiyecek hizmeti faaliyetleri,Accommodation and food service activities,201767,608773,395403,4817761161
J,Bilgi ve iletişim,Information and communication,25783,143796,118787,5101792813
L,Gayrimenkul faaliyetleri,Real estate activities,20043,41021,19667,393537589
M,Mesleki bilimsel ve teknik faaliyetleri,Professional scientific and technical activities,130882,354740,227065,4554655159
N,İdari ve destek hizmet faaliyetleri,Administrative and support service activities,22504,560374,537473,7082580947
P,Eğitim,Education,9675,169472,160405,3046328337
Q,İnsan sağlığı ve sosyal hizmet faaliyetleri,Human health and social work activities,32498,189314,158681,3284443908
R,Kültür sanat eğlence dinlence ve spor,Arts entertainment and recreation,13584,33531,20016,414691511
S,Diğer hizmet faaliyetleri,Other service activities,132989,201282,60366,583095846
