Table_11.42,Employment and Basic Indicators in Financial Intermediary Institutions by Economic Activity - Number of Enterprises/Establishments (ISIC Rev.3)
ISIC_Rev3_Code,Economic_Activity,1993,1994,1995,1996,1997,1998,1999,2000,2001
Total,Toplam - Total,3743,3750,3743,3219,3923,7784,8106,8720,8437
6511_6519,Banks (Central Bank included) Special Finance Houses,78,78,81,75,79,82,88,83,61
6591,Financial Leasing Companies,27,28,34,43,57,80,84,83,85
6592,Agricultural Credit Cooperatives and other credit granting,22,22,22,12,29,2580,2526,2509,2360
6599,Factoring Companies and other financial intermediation,19,19,19,18,92,109,106,106,107
6601,Life Insurance,11,12,12,17,18,22,22,23,24
6603,Non-life Insurance,46,44,46,45,45,45,44,44,41
6712,Mutual Funds Companies and activities auxiliary to financial intermediation,133,130,124,117,158,161,146,133,130
6719,Foreign Exchange Offices and other activities auxiliary,592,602,590,626,767,825,806,801,785
6720,Insurance Agency,2815,2815,2815,2266,2678,3880,4284,4938,4844
