Table_11.42,Employment in Financial Intermediary Institutions - Annual Average Number of Persons Engaged (Calisanlar) (ISIC Rev.3)
ISIC_Rev3_Code,Economic_Activity,1993,1994,1995,1996,1997,1998,1999,2000,2001
Total,Toplam - Total,176070,174870,173326,179049,195440,214281,228948,231925,179598
6511_6519,Banks (Central Bank included) Special Finance Houses,158582,155163,153941,155461,161081,170654,181175,180375,131948
6591,Financial Leasing Companies,571,720,658,995,1500,2047,1949,1942,1585
6592,Agricultural Credit Cooperatives and other credit granting,87,87,87,131,1741,8896,8742,8195,7872
6599,Factoring Companies and other financial intermediation,190,190,190,238,1407,1877,1834,1873,1839
6601,Life Insurance,537,910,1036,1448,2043,3019,4015,4526,4140
6603,Non-life Insurance,4822,5057,5180,6140,6031,6386,6435,7084,6597
6712,Mutual Funds Companies and activities auxiliary,1994,2800,3235,3868,5727,7321,7300,8435,7743
6719,Foreign Exchange Offices and other activities auxiliary,2180,2836,1892,3190,3402,4443,4853,4725,4344
6720,Insurance Agency,7107,7107,7107,7578,12508,9638,12645,14770,13530
