Table_11.42,Employment in Financial Intermediary Institutions - Annual Gross Payments to Employees (Million TL) (ISIC Rev.3)
ISIC_Rev3_Code,Economic_Activity,1993,1994,1995,1996,1997,1998,1999,2000,2001
Total,Toplam - Total,24754702,42057097,85377266,174255849,382647807,850625428,1540556837,2181309240,2455265571
6511_6519,Banks (Central Bank included) Special Finance Houses,23026642,38405670,77917618,156115547,330269055,702283329,1279163815,1753135853,1941073716
6591,Financial Leasing Companies,152904,371246,647363,1804179,5599696,14474074,23862523,33760786,35428411
6592,Agricultural Credit Cooperatives and other credit granting,4184,7071,14354,50392,3383953,31909623,52598939,76135309,106043739
6599,Factoring Companies and other financial intermediation,33422,56483,114660,313567,3884813,10116851,15654553,24268814,29455433
6601,Life Insurance,91623,271781,632389,1667420,4180751,10955597,25135699,43714571,49043685
6603,Non-life Insurance,975495,1765673,3454774,7401496,14259438,29827756,52483704,83094247,104099005
6712,Mutual Funds Companies and activities auxiliary,245940,589829,1534710,3734484,14144258,40229546,66304503,125546721,139380161
6719,Foreign Exchange Offices and other activities auxiliary,39423,137776,153745,963410,1399547,3836908,7906716,6228669,9008785
6720,Insurance Agency,185069,451568,907653,2205354,5526296,6991744,17446385,35424270,41732636
