Table_11.42,Employment and Basic Indicators in Financial Intermediary Institutions - Number of Enterprises (NACE Rev.2)
NACE_Rev2_Code,Economic_Activity,2002,2003,2004,2005,2006,2007,2008,2009,2010
K,Financial and insurance activities - Total,5158,5267,5579,5874,6620,7243,8234,17666,17945
64,Financial service activities (excl insurance and pension),196,207,210,212,197,192,169,269,274
64.11_64.19,Monetary intermediation (central bank commercial banks special finance houses),45,42,41,40,38,38,37,37,37
64.91,Financial leasing companies,58,64,66,75,62,56,41,38,37
64.92_64.99,Other credit granting and other financial service activities n.e.c.,93,101,103,97,97,98,91,157,163
65,Insurance reinsurance and pension funding (excl compulsory social security),57,57,55,53,47,51,54,57,58
65.11,Life insurance,23,22,22,21,21,22,23,23,23
65.12_65.20,Non-life insurance and reinsurance,34,35,33,32,26,29,31,34,35
66,Activities auxiliary to financial services and insurance,4905,5003,5314,5609,6376,7000,8011,17340,17613
66.12,Security and commodity contracts brokerage (mutual funds and foreign exchange offices),888,894,876,863,861,856,852,848,841
66.19,Other activities auxiliary to financial services (credit surety cooperatives),-,897,902,902,899,899,899,798,908
66.22,Insurance agents and brokers,4017,3212,3536,3844,4616,5245,6260,14900,15014
