Table,11.42 - Employment and basic indicators in financial intermediary institutions by economic activity
Indicator,Number of female employees (Ucretle calisan kadin sayisi)
Source,TurkStat Financial Intermediary Institution Statistics
NACE_Code,Description_EN,2002,2003,2004,2005,2006,2007,2008,2009,2010
K,Financial and insurance activities,73929,80214,82551,86746,93971,103049,118894,128168,132475
64,Financial service activities (except insurance and pension funding),58644,58895,60013,66084,71060,79523,91141,92999,96186
64.11+64.19,"Monetary intermediation (central bank, commercial banks, special finance houses)",54921,55166,56215,62236,66899,74887,86095,87325,90139
64.91,Financial leasing companies,500,503,511,582,679,713,786,673,659
64.92,Other Credit Granting (Consumer Financing Companies / Lenders and Agricultural Credit Cooperatives),,,,,,,, 1481,1525
64.99,"Other Financial Service Activities n.e.c. (Banks of Development and Investment, Factoring, Asset Management etc.)",,,,,,,,3520,3863
64.92+64.99 (2002-2008),"Other credit granting and other financial service activities n.e.c. (agricultural credit cooperatives, banks of development and investment, factoring)",3223,3226,3287,3266,3482,3923,4260,,
65,Insurance reinsurance and pension funding (except compulsory social security),5286,5681,6149,6536,6981,7682,8408,8744,8722
65.11,Life insurance,2684,2868,3133,3320,3530,4029,4329,4334,4122
65.12+65.20,Non-life insurance and reinsurance,2602,2813,3016,3216,3451,3653,4079,4410,4600
66,Activities auxiliary to financial services and insurance activities,9999,15638,16389,14126,15930,15844,19345,26425,27567
66.11,Administration of Financial Markets (Stock Markets),,,,,,,,185,197
66.12,"Security and commodity contracts brokerage (mutual funds companies and foreign exchange offices)",5025,4730,4877,3884,3548,3510,3389,2953,3050
66.19,"Other activities auxiliary to financial services (except insurance and pension funding) (credit surety cooperatives)",,3862,3402,2178,991,945,860,822,977
66.21,Risk and Damage Evaluation (Insurance Experts),,,,,,,,1344,1668
66.22,Activities of insurance agents and brokers (insurance agents - legal entity),4974,7046,8110,8064,11391,11389,15096,20931,21478
66.30,Fund management activities (portfolio management companies),,,,,,,,190,197
