Table,11.43,Number of broadcasting institutions employment (continued),NACE Rev.2 60 - Programming and broadcasting activities
Source,TurkStat Radio and Television Institution Statistics
Notes,"A=All type of broadcasting; B=National; C=Regional; D=Local; E=Satellite/cable/internet (from 2009)"
Unit,persons (annual average)
Year,Economic_Activity,Type,Num_Institutions,Employees_Annual_Avg,Persons_Engaged_Annual_Avg
2000,Total,A,1485,21038,21736
2000,Total,B,40,11573,11573
2000,Total,C,83,994,1004
2000,Total,D,1362,8471,9159
2000,Radio,A,1117,5342,6040
2000,Radio,B,23,447,447
2000,Radio,C,70,623,633
2000,Radio,D,1024,4272,4960
2000,Radio-Television,A,94,12046,12046
2000,Radio-Television,B,10,10164,10164
2000,Radio-Television,C,6,257,257
2000,Radio-Television,D,78,1625,1625
2000,Television,A,274,3650,3650
2000,Television,B,7,962,962
2000,Television,C,7,114,114
2000,Television,D,260,2574,2574
2001,Total,A,1450,20297,21879
2001,Total,B,40,11422,11422
2001,Total,C,85,780,885
2001,Total,D,1325,8095,9572
2001,Radio,A,1160,6259,7693
2001,Radio,B,22,445,445
2001,Radio,C,73,564,663
2001,Radio,D,1065,5250,6585
2001,Radio-Television,A,97,11489,11561
2001,Radio-Television,B,11,9986,9986
2001,Radio-Television,C,6,143,145
2001,Radio-Television,D,80,1360,1430
2001,Television,A,193,2549,2625
2001,Television,B,7,991,991
2001,Television,C,6,73,77
2001,Television,D,180,1485,1557
2002,Total,A,1282,14850,16440
2002,Total,B,52,10829,10848
2002,Total,C,121,1230,1335
2002,Total,D,1109,2791,4257
2002,Radio,A,1016,2167,3551
2002,Radio,B,31,180,195
2002,Radio,C,105,503,596
2002,Radio,D,880,1484,2760
2002,Radio-Television,A,128,10231,10293
2002,Radio-Television,B,10,9224,9227
2002,Radio-Television,C,4,385,391
2002,Radio-Television,D,114,622,675
2002,Television,A,138,2452,2596
2002,Television,B,11,1425,1426
2002,Television,C,12,342,348
2002,Television,D,115,685,822
2003,Total,A,1219,14132,16278
2003,Total,B,51,10877,10884
2003,Total,C,115,788,963
2003,Total,D,1053,2467,4431
2003,Radio,A,947,2332,4186
2003,Radio,B,30,743,750
2003,Radio,C,102,295,459
2003,Radio,D,815,1294,2977
2003,Radio-Television,A,147,9824,9972
2003,Radio-Television,B,10,8773,8773
2003,Radio-Television,C,4,394,394
2003,Radio-Television,D,133,657,805
2003,Television,A,125,1976,2120
2003,Television,B,11,1361,1361
2003,Television,C,9,99,110
2003,Television,D,105,516,649
2004,Total,A,1209,13613,15989
2004,Total,B,45,10535,10544
2004,Total,C,108,817,940
2004,Total,D,1056,2261,4505
2004,Radio,A,970,1795,3771
2004,Radio,B,24,355,364
2004,Radio,C,95,334,445
2004,Radio,D,851,1106,2962
2004,Radio-Television,A,128,9967,10143
2004,Radio-Television,B,10,8882,8882
2004,Radio-Television,C,4,379,379
2004,Radio-Television,D,114,706,882
2004,Television,A,111,1851,2075
2004,Television,B,11,1298,1298
2004,Television,C,9,104,116
2004,Television,D,91,449,661
2005,Total,A,1179,13411,15606
2005,Total,B,51,10913,10930
2005,Total,C,109,608,753
2005,Total,D,1019,1890,3923
2005,Radio,A,931,1613,3506
2005,Radio,B,26,407,411
2005,Radio,C,84,326,440
2005,Radio,D,821,880,2655
2005,Radio-Television,A,111,9257,9414
2005,Radio-Television,B,12,8599,8611
2005,Radio-Television,C,17,255,286
2005,Radio-Television,D,82,403,517
2005,Television,A,137,2541,2686
2005,Television,B,13,1907,1908
2005,Television,C,8,27,27
2005,Television,D,116,607,751
2006,Total,A,1068,12628,14915
