Table,17.14 (continued),Turkiye tuketici fiyatlari endeks sayilari ve degisim oranlari / Consumer price index numbers and rates of change for Turkey,Source: TurkStat / Hazine Mustesarligi
Unit,Index numbers with various base years and annual % change,,,,,,,
Base_year_notes,"1982=base year for this segment; 1987=new base introduced; see introductory notes",,,,,,,,
Year,Clothing_Index,Clothing_pct_change,Medical_Personal_Care_Index,Medical_pct_change,Transport_Communication_Index,Transport_pct_change,Culture_Entertainment_Index,Culture_pct_change
1982,382,,464,,482,,432,
1983,525,37.5,686,47.9,646,33.9,578,33.7
1984,735,39.9,948,38.2,903,39.8,756,30.8
1985,1057,43.8,1489,57.0,1429,58.3,1022,35.2
1986,1537,45.3,2119,42.3,1893,32.5,1462,43.1
1987,2241,45.8,3150,48.7,2362,24.8,2242,53.3
1988,5001,123.2,5743,82.3,4220,78.7,3849,71.7
1989,8382,67.6,9861,71.7,6943,64.5,6246,62.3
1990,13388,59.7,15412,56.3,11682,68.3,9593,53.6
1991,21059,57.3,28287,83.5,20453,75.1,16175,68.6
1992,33723,60.1,48201,70.4,35699,74.5,28522,76.3
1993,56120,66.4,81148,68.4,55991,56.8,49481,73.5
1994,114947,104.8,172960,113.1,116464,108.0,100392,102.9
1995,241499,110.1,315311,82.3,206993,77.7,185451,84.7
1996,432496,79.1,581488,84.4,403840,95.1,354630,91.2
1997,747003,72.7,1077125,85.2,772905,91.4,641471,80.9
1998,1312871,75.8,2147042,99.3,1319063,70.7,1257208,96.0
1999,1984127,51.1,3765305,75.4,2199421,66.7,2129331,69.4
2000,2819076,42.1,5972900,58.6,3505038,59.4,3076023,44.5
2001,4276882,51.7,9032939,51.2,5615786,60.2,4603121,49.6
2002,6521566,52.5,12672487,40.3,8424754,50.0,6563172,42.6
2003,8282389,27.0,15777247,24.5,10412996,23.6,8151460,24.2
2004,7134152,3.9,19308058,9.3,14007152,9.2,12771496,56.7
2005,7158054,0.3,20907979,8.3,15215974,8.6,13972163,9.4
2006,7150895,-0.1,22413353,7.2,16554980,8.8,15285546,9.4
2007,7472686,4.5,23489194,4.8,17482059,5.6,15896968,4.0
2008,7658642,2.5,23585362,0.4,18874788,8.0,16405671,3.2
2009,7719911,0.8,24269337,2.9,18912538,0.2,17783747,8.4
2010,8067307,4.5,24439222,0.7,20747054,9.7,18388394,3.4
2011,8599749,6.6,24585858,0.6,22821760,10.0,18921658,2.9
