Table,19.5 Konsolide bütçe dengesi (Eski seri) - Harcamalar / Consolidated Budget Balance (Old Series) - Expenditures
Source,Hazine Müsteşarlığı / Undersecretariat of Treasury
Unit,Milyar TL / Billion TL
Notes,"At current prices, Cumulative. Personnel = Personel giderleri (wages/compensation of employees in central government budget)."
,,,,,,
Year,Total_Expenditures,Current_Expenditures,Personnel,Other_Current,Investment,Transfer_Expenditures
1980,1079,495,342,153,186,398
1981,1516,638,398,240,306,572
1982,1602,720,442,278,333,549
1983,2612,1068,670,398,473,1071
1984,3784,1490,896,594,691,1603
1985,5399,2095,1276,819,1117,2187
1986,8561,3051,1840,1211,2019,3490
1987,13043,4537,2996,1542,2642,5864
1988,21447,7460,5053,2407,3564,10423
1989,38871,16660,12539,4121,5818,16393
1990,68527,33452,26465,6987,10055,25020
1991,130263,60403,49291,11112,17146,52714
1992,221658,114221,94076,20145,29239,78198
1993,485249,204829,169511,35318,53161,227259
1994,897296,346469,273062,73407,72788,478039
1995,1710645,644149,502600,141549,91777,974719
1996,3940162,1282719,974148,308571,238085,2419358
1997,7990748,2779482,2073140,706342,590382,4620884
1998,15425545,5149547,3871005,1278542,886565,9389433
1999,28084685,9172790,6911927,2260863,1544427,17367468
2000,46192959,13501793,9982149,3519644,2250524,30440642
2001,79856268,20226628,15203977,5022651,3901656,55727984
2002,114483755,30047841,23160297,7889422,6887544,77548370
2003,139001198,37365883,30200762,8217904,7165121,94470194
