Table_20.5,GDP_by_economic_activity_at_1998_constant_prices,Unit:Billion_TL
Note: ESA-95 series, 1998 base year. 2005-2008 data in Thousand YTL.
Year,GDP_purchaser_price_BillionTL,GDP_pct_change,Agriculture_BillionTL,Agriculture_pct_change,Industry_BillionTL,Industry_pct_change,Services_BillionTL,Services_pct_change
1998,70203147,,8757483,,22916660,,36320439,
1999,67840570,-3.4,8259850,-5.7,21863769,-4.6,35850745,-1.3
2000,72436399,6.8,8844649,7.1,23231499,6.3,38216680,6.6
2001,68309352,-5.7,8147374,-7.9,21116413,-9.1,37887332,-0.9
2002,72519831,6.2,8860621,8.8,22078856,4.6,39691858,4.8
2003,76338193,5.3,8683621,-2.0,23795479,7.8,41304948,4.1
2004,83485591,9.4,8929288,2.8,26604746,11.8,45326667,9.7
2005,90499731,8.4,9570752,7.2,28929789,8.7,49232512,8.6
2006,96738320,6.9,9700944,1.4,31870922,10.2,52741071,7.1
2007,101254625,4.7,9046723,-6.7,33704158,5.8,56113915,6.4
2008,101921730,0.7,9433550,4.3,33252462,-1.3,57424893,2.3
2009,97003114,-4.8,9768638,3.6,30399829,-8.6,56384545,-1.8
2010,105885644,9.2,9999429,2.4,34582263,13.8,60719137,7.7
2011,114889302,8.5,10562830,5.6,37947481,9.7,65983328,8.7
Note: 2011 data marked provisional (*).
Source: TurkStat National Accounts Chapter.
