Table 20.12 - Gross National Product by Kind of Economic Activity [At 1987 Prices]
Source: TurkStat Statistical Indicators 1923-2011, pages 724-727
Unit: Million TL (Milyon TL)
Note: 2005 and 2006 data are in YTL (New Turkish Lira).

Year,Col1_Agriculture_Total,Col1a_Agriculture_Livestock,Col1b_Forestry,Col1c_Fishing,Col2_Industry_Total,Col2a_Mining_Quarrying,Col2b_Manufacturing,Col2c_Electricity_Gas_Water,Col3_Construction,Col4_Trade,Col5_Transport_Communication,Col6_Financial_Institutions,Col7_Ownership_of_Dwelling,Col8_Business_Personal_Services,Col9_Less_Imputed_Bank_Services,Col10_Sectoral_Total,Col11_Government_Services,Col12_Private_Nonprofit_Institutions,Col13_Total,Col14_Import_Duties,Col15_GDP_Purchasers_Prices,Col16_Net_Factor_Income_RoW,Col17_GNP_Purchasers_Prices
1968,10599991,9898030,588528,113433,5620965,523275,4763825,333866,2147556,3945322,2443060,804860,3142838,737068,754592,28687069,1396001,85722,30168792,1256258,31425049,210148,31635197
1969,10470705,9710239,617103,143363,6301449,608998,5321192,371259,2190733,4296818,2603725,899019,3176764,768220,847769,29859663,1487735,92622,31440020,1267529,32707548,295031,33002579
1970,10767561,10007006,640293,120262,6382419,589978,5406331,386110,2424170,4549626,2668593,971473,3215645,794692,838716,30935463,1605925,97318,32638707,1126425,33765132,703492,34468624
1971,11324720,10580936,643402,100382,6956397,645728,5876682,433987,2391689,5029611,2897035,1054045,3256348,843689,930056,32823479,1705558,106486,34635523,1009177,35644700,1252677,36897377
1972,11454314,10667827,692387,94100,7681213,664938,6517240,499034,2645413,5706662,3233482,1146789,3305346,900809,996031,35077996,1794107,119264,36991367,1300272,38291639,1987609,40279248
1973,10565936,9751042,751205,63689,8591872,694720,7357964,539187,2885368,6131986,3524889,1251147,3358037,928985,1086688,36151531,1914793,128626,38194951,1345829,39540780,2714224,42255004
1974,11231456,10388982,787273,55202,9219505,769053,7895096,555356,2924324,6589470,3920816,1364996,3403434,988490,1185587,38456904,1968408,141167,40566479,1186397,41752876,1880296,43633172
1975,11583228,10767308,751060,64860,10060853,811588,8581969,667296,2966361,7251385,4535427,1467297,3456356,1055653,1273413,41103146,2087575,157486,43348207,1400061,44748268,1527145,46275414
1976,12391863,11486900,828258,76705,10962728,851997,9354346,756384,3342042,8145784,5278342,1587076,3513071,1154351,1379348,44995908,2368084,178416,47542408,1887095,49429503,1008465,50437968
1977,12162375,11140087,913282,109006,11716107,922733,9971733,821640,3355289,8576180,5857523,1726785,3580303,1198066,1502944,46669681,2559833,191922,49421436,1691916,51113351,830988,51944339
