Table,20.14
Title,Gross National Product per capita
Unit_TL_constant,Constant producers prices (TL)
Unit_pct_change_constant,Percent change at constant prices
Unit_TL_current,Current producers prices (TL)
Unit_pct_change_current,Percent change at current prices
Unit_USD_current,Current producers prices (USD)
Unit_pct_change_USD,Percent change in USD
Source,TurkStat Statistical Indicators 1923-2011
Pages,730-731
Note,"1923-1947 based on 1948 prices; 1948-1967 based on 1968 prices; 1968-2006 based on 1987 prices. Data of 2005 and 2006 given as TRY."

Year,GNP_per_capita_constant_TL,GNP_per_capita_constant_pct_change,GNP_per_capita_current_TL,GNP_per_capita_current_pct_change,GNP_per_capita_current_USD,GNP_per_capita_current_USD_pct_change
1923,233,,76,,45,
1924,262,12.5,94,23.9,56,24.1
1925,290,10.5,116,24.1,70,24.0
1926,335,15.8,123,6.0,74,6.0
1927,287,-14.6,108,-12.6,65,-12.6
1928,311,8.7,117,8.6,59,-8.0
1929,370,18.9,146,24.3,74,24.4
1930,371,0.2,109,-25.3,55,-25.3
1931,395,6.5,94,-13.8,48,-13.8
1932,345,-12.6,77,-17.6,39,-17.6
1933,391,13.4,74,-4.5,45,14.0
1934,406,3.8,77,4.3,47,4.3
1935,386,-5.1,81,5.5,49,5.6
1936,467,21.1,103,27.1,62,26.0
1937,466,-0.2,108,4.8,65,4.8
1938,502,7.6,111,3.1,88,36.0
1939,521,3.9,118,5.7,91,2.5
1940,487,-6.6,135,14.5,104,14.6
1941,432,-11.3,166,23.1,128,23.1
1942,451,4.5,340,104.9,262,104.9
1943,403,-10.7,502,47.4,386,47.4
1944,379,-6.1,360,-28.4,277,-28.4
1945,317,-16.2,291,-19.0,224,-19.0
1946,410,29.1,357,22.7,191,-14.7
1947,418,2.0,384,7.6,137,-28.1
1948,1861,,477,24.0,170,24.0
1949,1730,-7.0,445,-6.7,159,-6.7
1950,1850,7.0,466,4.8,166,4.8
1951,2035,10.0,545,17.0,195,17.1
1952,2215,8.8,610,11.8,218,11.8
1953,2397,8.2,692,13.4,247,13.4
1954,2262,-5.6,686,-0.8,245,-0.9
1955,2374,5.0,801,16.8,286,16.9
1956,2391,0.7,902,12.6,322,12.5
1957,2495,4.4,1161,28.7,415,28.7
1958,2534,1.6,1347,16.1,481,16.1
1959,2563,1.1,1633,21.3,583,21.3
1960,2576,0.5,1696,3.9,359,-38.5
1961,2560,-0.6,1755,3.4,194,-45.9
1962,2653,3.6,1991,13.5,220,13.4
1963,2839,7.0,2253,13.2,249,13.2
1964,2883,1.5,2346,4.2,258,3.7
1965,2901,0.6,2463,5.0,271,5.0
1966,3162,9.0,2863,16.2,315,16.2
1967,3220,1.8,3099,8.2,341,8.2
1968,941944,,4880,57.5,537,57.5
1969,958207,1.7,5324,9.1,586,9.1
1970,975868,1.8,5884,10.5,539,-8.1
1971,1018842,4.4,7209,22.5,476,-11.6
1972,1084758,6.5,8460,17.4,592,24.2
1973,1109871,2.3,10483,23.9,734,24.1
1974,1117768,0.7,13774,31.4,980,33.5
1975,1154634,3.3,17239,25.2,1184,20.9
1976,1232750,6.8,21216,23.1,1312,10.8
1977,1243640,0.9,26534,25.1,1467,11.8
1978,1233165,-0.8,38602,45.5,1567,6.9
1979,1202026,-2.5,66081,71.2,1877,19.7
1980,1144739,-4.8,119335,80.6,1539,-18.0
1981,1170770,2.3,176169,47.6,1570,2.0
1982,1177245,0.6,227293,29.0,1375,-12.4
1983,1196703,1.7,291096,28.1,1264,-8.1
1984,1250251,4.5,451758,55.2,1204,-4.7
1985,1271997,1.7,702706,55.5,1330,10.4
1986,1328231,4.4,995174,41.6,1462,9.9
1987,1427282,7.5,1427282,43.4,1636,11.9
1988,1416888,-0.7,2404824,68.5,1684,3.0
1989,1409056,-0.6,4196709,74.5,1959,16.3
1990,1505110,6.8,7066839,68.4,2682,36.9
1991,1481321,-1.6,11070462,56.7,2621,-2.3
1992,1546592,4.4,18897021,70.7,2708,3.3
1993,1641872,6.2,33573525,77.7,3004,10.9
1994,1514346,-7.8,64182233,91.2,2184,-27.3
1995,1606454,6.1,127423385,98.5,2759,26.3
1996,1691943,5.3,238896076,87.5,2928,6.1
1997,1838576,8.7,470442977,96.9,3079,5.2
1998,1880016,2.3,843358573,79.3,3255,5.7
1999,1741293,-7.4,1216609421,44.3,2879,-11.6
2000,1766124,1.4,1861759072,53.0,2965,3.0
2001,1570770,-11.1,2571977513,38.1,2123,-28.4
2002,1670893,6.4,3950138827,53.6,2598,22.4
2003,1741783,4.2,5044135199,27.7,3383,30.2
2004,1884802,8.2,5974903440,18.5,4172,23.3
2005,2.0,,6749,,5008,20.0
2006,2.1,4.7,7890,16.9,5477,9.4
