Table,20.18
Title,Sectoral shares in Gross Domestic Product (At 1998 constant prices)
Unit,Percent (%)
Source,TurkStat Statistical Indicators 1923-2011
Pages,736-737
Note,2011 data are preliminary (*)

Year,1a_Agriculture_forestry_hunting_pct,1b_Fishing_pct,2a_Mining_quarrying_pct,2b_Manufacturing_pct,2c_Electricity_gas_water_pct,3_Construction_pct,4_Wholesale_retail_trade_pct,5_Hotels_restaurants_pct,6_Transport_storage_communication_pct,7_Financial_intermediation_pct,8_Ownership_of_dwelling_pct,9_Real_estate_renting_business_pct,10_Public_admin_defence_pct,11_Education_pct,12_Health_social_work_pct,13_Other_community_social_personal_pct,14_Private_households_employed_persons_pct,15_Total_sectors_pct,16_FISIM_minus_pct,17_Taxes_minus_subsidies_pct,18_GDP_purchasers_price_pct
1998,12.1,0.3,1.0,23.9,1.9,5.8,14.0,2.5,11.0,7.6,5.0,2.5,4.0,2.2,1.2,1.6,0.1,96.9,5.0,8.2,100.0
1999,11.8,0.3,1.0,23.5,1.9,5.8,13.2,2.2,11.8,8.4,5.4,2.4,4.3,2.3,1.2,1.6,0.1,97.2,5.3,8.1,100.0
2000,11.9,0.3,0.9,23.5,1.9,5.7,13.3,2.3,12.3,8.2,5.3,2.3,4.1,2.2,1.2,1.6,0.1,97.0,5.1,8.0,100.0
2001,11.6,0.3,0.9,23.0,1.9,5.0,11.8,2.6,12.6,10.0,5.8,2.5,4.6,2.4,1.3,1.7,0.1,98.3,6.4,8.1,100.0
2002,11.9,0.3,0.8,22.3,1.9,5.4,11.9,2.5,13.3,8.9,5.7,2.7,4.3,2.3,1.3,1.7,0.1,97.4,5.5,8.1,100.0
2003,11.1,0.3,0.8,23.0,1.9,5.5,12.6,2.2,13.7,8.0,5.6,2.7,4.1,2.2,1.3,1.6,0.1,96.7,4.9,8.2,100.0
2004,10.4,0.3,0.7,23.5,1.8,5.8,13.1,2.2,13.9,8.3,5.3,2.8,3.9,2.1,1.1,1.6,0.1,96.9,5.1,8.3,100.0
2005,10.2,0.3,0.7,23.5,1.9,5.8,13.2,2.0,14.3,8.7,5.0,2.8,3.4,2.0,1.2,1.5,0.1,96.9,5.4,8.4,100.0
2006,9.7,0.3,0.7,23.8,2.0,6.4,13.1,1.9,14.3,9.3,4.8,3.0,3.2,2.0,1.2,1.6,0.1,97.5,5.9,8.4,100.0
2007,8.6,0.3,0.8,24.0,2.0,6.5,13.3,1.9,14.6,9.8,4.7,3.2,3.1,2.0,1.2,1.6,0.1,97.6,6.2,8.5,100.0
2008,9.0,0.3,0.8,23.8,2.1,5.9,13.0,1.8,14.7,10.6,4.8,3.4,3.0,2.0,1.2,1.6,0.2,98.2,6.6,8.4,100.0
2009,9.8,0.3,0.8,23.2,2.1,5.2,12.2,2.0,14.4,12.1,5.2,3.7,3.3,2.1,1.3,1.6,0.2,99.5,7.7,8.1,100.0
2010,9.2,0.3,0.8,24.2,2.1,5.7,12.7,1.8,14.6,11.8,4.8,3.7,3.0,1.9,1.2,1.5,0.2,99.4,7.9,8.4,100.0
2011,8.9,0.3,0.7,24.4,2.1,5.8,13.0,1.8,14.8,11.9,4.5,3.7,2.9,1.9,1.2,1.4,0.2,99.7,8.2,8.6,100.0
