Table,20.19
Title,Sectoral growth rates of Gross Domestic Product (At current prices)
Unit,Percent (%)
Source,TurkStat Statistical Indicators 1923-2011
Pages,738-739
Note,2011 data are preliminary (*)

Year,1a_Agriculture_forestry_hunting_pct,1b_Fishing_pct,2a_Mining_quarrying_pct,2b_Manufacturing_pct,2c_Electricity_gas_water_pct,3_Construction_pct,4_Wholesale_retail_trade_pct,5_Hotels_restaurants_pct,6_Transport_storage_communication_pct,7_Financial_intermediation_pct,8_Ownership_of_dwelling_pct,9_Real_estate_renting_business_pct,10_Public_admin_defence_pct,11_Education_pct,12_Health_social_work_pct,13_Other_community_social_personal_pct,14_Private_households_employed_persons_pct,15_Total_sectors_pct,16_FISIM_change_pct,17_Taxes_subsidies_change_pct,18_GDP_purchasers_price_pct
1999,25.4,24.3,35.6,36.3,63.3,39.2,32.1,30.1,56.4,99.4,117.6,57.0,80.5,77.8,75.5,54.8,61.1,50.4,101.8,65.1,49.0
2000,53.8,31.3,67.7,46.2,53.1,47.8,62.6,74.1,67.7,9.2,90.3,55.4,46.0,47.3,47.9,60.1,58.1,52.6,3.6,90.3,59.3
2001,26.2,29.1,42.0,37.0,72.7,27.3,38.0,45.2,57.5,78.0,45.8,57.4,53.5,48.9,43.9,45.0,55.3,44.9,71.6,48.7,44.1
2002,70.9,24.9,37.0,36.1,41.7,37.4,46.9,36.1,53.4,-25.4,34.7,72.4,40.2,57.2,60.9,61.9,61.4,40.2,-28.4,58.8,45.9
2003,24.7,53.6,40.7,29.3,22.6,25.1,30.2,22.7,28.4,0.6,31.9,30.6,30.1,32.9,35.6,38.0,29.1,27.7,-4.9,37.8,29.8
2004,17.2,26.8,30.0,20.5,8.5,34.0,26.9,29.6,20.8,19.8,28.0,25.4,20.1,20.4,18.5,6.9,25.8,22.2,10.8,25.8,22.9
2005,14.0,38.8,29.3,15.3,12.2,16.4,13.4,14.4,17.2,-1.7,25.1,19.7,4.2,17.4,27.0,14.2,22.1,15.5,-1.8,17.5,16.1
2006,3.0,9.3,17.4,16.4,12.5,24.9,18.3,17.3,16.9,19.5,23.9,23.0,13.8,19.5,16.6,19.6,23.4,16.9,12.1,16.0,16.9
2007,2.9,-4.3,17.6,8.8,19.8,14.4,8.7,11.9,12.9,25.3,22.3,24.4,11.4,16.0,15.3,14.6,21.6,12.9,23.2,1.3,11.2
2008,13.1,-13.1,27.8,8.4,28.0,8.9,12.8,10.3,14.8,20.6,16.5,17.5,10.4,13.2,12.0,9.4,14.1,13.3,15.5,9.0,12.7
2009,8.8,16.0,5.8,-5.7,10.6,-18.1,-11.0,12.7,-5.7,29.2,10.5,11.1,13.3,14.1,5.6,0.3,8.3,1.2,45.4,-1.0,0.2
2010,17.8,13.4,10.9,18.7,11.6,24.9,16.8,7.9,13.5,-5.1,4.9,16.8,11.7,15.7,9.1,16.3,13.5,13.4,-10.5,25.4,15.4
2011,11.7,16.2,21.5,22.5,13.0,25.5,29.2,15.5,22.0,0.4,5.3,15.7,13.5,16.3,8.2,14.6,13.6,17.4,-10.0,19.5,18.1
