Table_11.7,Employed persons by actual hours worked and branch of economic activity,2011-2012
Unit: Thousand (Bin)
Note: Industry = Mining+Manufacturing+Electricity/Gas/Water+Construction; Services = Trade+Hotels+Transport+Finance+Business+Community
Source: TurkStat Statistical Yearbook 2012 p.184

Year,Sex,Hours_Category,Total,Agriculture,Industry,Services
2011,Males,TOTAL,17137,3199,5322,8616
2011,Males,Persons at work,16546,2918,5219,8409
2011,Males,1-16 hours,648,292,84,272
2011,Males,17-35 hours,1989,905,424,660
2011,Males,36-39 hours,344,127,79,138
2011,Males,40 hours,2007,100,375,1532
2011,Males,41-49 hours,3286,428,1416,1442
2011,Males,50-59 hours,2702,425,1147,1130
2011,Males,60-71 hours,3806,491,1279,2036
2011,Males,72+ hours,1763,150,416,1198
2011,Males,Persons not at work,592,281,104,207
2011,Females,TOTAL,6973,2944,1057,2972
2011,Females,Persons at work,6735,2898,1017,2819
2011,Females,1-16 hours,829,520,72,238
2011,Females,17-35 hours,1834,1256,166,412
2011,Females,36-39 hours,146,97,13,36
2011,Females,40 hours,931,70,89,773
2011,Females,41-49 hours,1100,326,274,500
2011,Females,50-59 hours,882,311,241,330
2011,Females,60-71 hours,779,270,130,379
2011,Females,72+ hours,232,48,32,152
2011,Females,Persons not at work,238,46,40,152
2012,Males,TOTAL,17512,3225,5372,8915
2012,Males,Persons at work,16983,2935,5294,8754
2012,Males,1-16 hours,499,304,56,139
2012,Males,17-35 hours,1514,843,190,481
2012,Males,36-39 hours,291,110,59,122
2012,Males,40 hours,2356,103,406,1847
2012,Males,41-49 hours,3716,392,1618,1706
2012,Males,50-59 hours,2950,466,1234,1250
2012,Males,60-71 hours,3921,558,1317,2046
2012,Males,72+ hours,1736,159,414,1163
2012,Males,Persons not at work,529,290,78,161
2012,Females,TOTAL,7309,2872,1088,3349
2012,Females,Persons at work,7110,2829,1066,3215
2012,Females,1-16 hours,792,547,72,173
2012,Females,17-35 hours,1700,1150,114,436
2012,Females,36-39 hours,123,79,8,36
2012,Females,40 hours,1154,80,102,972
2012,Females,41-49 hours,1281,311,338,632
2012,Females,50-59 hours,933,315,255,363
2012,Females,60-71 hours,854,291,145,418
2012,Females,72+ hours,273,56,32,185
2012,Females,Persons not at work,199,43,22,134
