Table,13.3 Yayın türlerine göre bazı temel göstergeler / Some of basic indicators by type of broadcasting
Source,TurkStat Turkey Statistical Yearbook 2012
Unit,Count (persons) and TL (Turkish Lira) for monetary values
Note,"Broadcasting type codes: A=All types, B=National, C=Regional, D=Local, E=Satellite/cable/internet. Satellite and cable institutions included from reference year 2009. 2011 data preliminary (*)."

Year,Economic_Activity,Broadcast_Category,Broadcast_Type_Code,Num_Broadcasting_Institutions,Annual_Avg_Employees,Annual_Avg_Persons_Engaged,Personnel_Cost_TL,Purchase_Goods_Services_TL,Turnover_TL,Production_Value_TL,Value_Added_Factor_Cost_TL
2010,Programming and broadcasting activities,Total,A,1117,15510,17621,692886418,2248669405,2657095014,3687547423,1446117459
2010,Programming and broadcasting activities,Total,B,47,11070,11093,589271794,1850714876,2209704801,3240493443,1389470038
2010,Programming and broadcasting activities,Total,C,78,813,903,25707704,80234764,88530298,87889381,7475176
2010,Programming and broadcasting activities,Total,D,876,2022,3821,25877350,44838144,55870866,56033447,11237311
2010,Programming and broadcasting activities,Total,E,116,1605,1804,52029570,272881621,302989049,303131152,37934934
2010,Programming and broadcasting activities,Radio,A,789,1733,3287,43624202,145179888,173335533,173913805,30313804
2010,Programming and broadcasting activities,Radio,B,25,444,460,17508156,60148420,83684916,84807309,26499907
2010,Programming and broadcasting activities,Radio,C,61,380,456,14712062,54769991,57410334,56700829,1706923
2010,Programming and broadcasting activities,Radio,D,703,909,2371,11403984,30261477,32240283,32405667,2106974
2010,Programming and broadcasting activities,Radio-Television,A,213,11561,11902,540091640,1275604988,1198431861,2233357718,961208074
2010,Programming and broadcasting activities,Radio-Television,B,10,9278,9280,477469070,991193692,877419238,1912125354,916530516
2010,Programming and broadcasting activities,Radio-Television,C,10,204,212,3616632,5196793,7487171,7555759,2427948
2010,Programming and broadcasting activities,Radio-Television,D,77,474,606,6976368,6332882,10536403,10545453,4314676
2010,Programming and broadcasting activities,Radio-Television,E,116,1605,1804,52029570,272881621,302989049,303131152,37934934
2010,Programming and broadcasting activities,Television,A,115,2216,2432,109170576,827884529,1285327620,1280275900,454595581
2010,Programming and broadcasting activities,Television,B,12,1348,1353,94294568,799372764,1248600647,1243560780,446439615
2010,Programming and broadcasting activities,Television,C,7,229,235,7379010,20267980,23632793,23632793,3340305
2010,Programming and broadcasting activities,Television,D,96,639,844,7496998,8243785,13094180,13082327,4815661
2011,Programming and broadcasting activities,Total,A,1125,16634,18733,832465520,2912574329,3081183115,4148838467,1242987680
2011,Programming and broadcasting activities,Total,B,47,11598,11620,695023985,2456505821,2564209255,3630076588,1175890476
2011,Programming and broadcasting activities,Total,C,73,817,886,29977238,75347380,87047440,86889599,11169869
2011,Programming and broadcasting activities,Total,D,880,2143,3941,30640757,66180051,75513796,75858277,10156627
2011,Programming and broadcasting activities,Total,E,125,2076,2286,76823540,314541077,354412624,356014003,45770708
2011,Programming and broadcasting activities,Radio,A,794,1809,3400,48114339,150608838,183760187,184120876,33689940
2011,Programming and broadcasting activities,Radio,B,26,412,424,16550564,54173010,79963380,80203179,26064790
2011,Programming and broadcasting activities,Radio,C,56,401,454,16498768,52618895,59408396,59230655,6294803
2011,Programming and broadcasting activities,Radio,D,712,996,2522,15065007,43816933,44388411,44687042,1330347
2011,Programming and broadcasting activities,Radio-Television,A,220,12806,13146,688460936,1912602661,1988329962,3056520862,1157267163
2011,Programming and broadcasting activities,Radio-Television,B,12,10068,10068,600434262,1582041526,1610361998,2676948519,1103985461
2011,Programming and broadcasting activities,Radio-Television,C,8,150,161,3463850,4849620,7421132,7421132,2577753
2011,Programming and broadcasting activities,Radio-Television,D,75,512,631,7739284,11170438,16134208,16137208,4933241
2011,Programming and broadcasting activities,Radio-Television,E,125,2076,2286,76823540,314541077,354412624,356014003,45770708
2011,Programming and broadcasting activities,Television,A,111,2019,2187,95890245,849362830,909092966,908196729,52030577
2011,Programming and broadcasting activities,Television,B,9,1118,1128,78039159,820291285,873883877,872924890,45840225
2011,Programming and broadcasting activities,Television,C,9,266,271,10014620,17878865,20217912,20237812,2297313
2011,Programming and broadcasting activities,Television,D,93,635,788,7836466,11192680,14991177,15034027,3893039
