Table,12.25 Seçilmiş su ürünlerinde üretim miktarı / Quantity of selected fishery products
Source,TurkStat Turkey Statistical Yearbook 2012
Unit,Ton (Tonnes)
Note,Not relevant to national accounts / labor share extraction focus

Product,2007,2008,2009,2010,2011
Avlanan deniz balıkları miktarı (Catch of sea fish),518201,395660,380636,399656,432246
  Hamsi (Anchovy),385000,251675,204699,229023,228491
  Palamut-Torik (Atlantic bonito),5965,6448,7036,9401,10019
  Sardalya (Pilchard),20941,17531,30091,27639,34709
  İstavrit Kraça (Horse mackerel),22991,22134,20373,14392,18073
  İstavrit Karagöz (Scad),9030,10043,7895,6055,6937
  Çaça (Sprat),11921,39303,53385,57023,87141
  Mezgit (Whiting),12940,12231,11146,13558,9455
  Kefal (Grey mullet),8291,3345,2987,3119,2514
  Lüfer (Blue fish),6858,4048,5999,4744,3122
  Bakalorya-Berlam (Hake-European hake),3337,1252,1557,1256,921
  Diğer deniz balıkları (Other sea fish),30927,27650,35468,33446,30864
Avlanan diğer deniz ürünleri miktarı / Catch of other sea products (Crustaceas molluscs),70928,57453,44410,46024,45412
  Akivades Kum midyesi (Carpet shell),1334,1255,68,56,27
  Beyaz kum midyesi (Striped venus),47215,36896,24574,26931,30176
  Kara-Kıllı midye (Mediterranean mussel-Bearded horse mussel),1493,342,6261,981,1806
  Kalamerya (Squid),844,537,576,528,394
  Deniz salyangozu (Sea snail),13791,11442,6085,8437,6534
  Karides (Prawn),3917,4668,4614,4705,4770
  Diğer deniz ürünleri (Other sea products),2334,2313,2232,4386,1705
Yetiştiricilik üretimi (Aquaculture production),139873,152186,158729,167141,188790
  İçsu - Inland water,59033,66557,76248,78568,100446
    Alabalık (Trout),58433,65928,75657,78165,100239
    Aynalı sazan (Carp),600,629,591,403,207
  Deniz - Marine water,80840,85629,82481,88573,88344
    Alabalık (Trout),2740,2721,5229,7079,7697
    Çipura (Sea bream),33500,31670,28362,28157,32187
    Levrek (Sea bass),41900,49270,46554,50796,47013
    Midye (Mussel),1100,196,89,340,5
    Diğer (Other),1600,1772,2247,2201,1442
Avlanan tatlısu ürünleri miktarı (Catch of freshwater products),43321,41011,39187,40259,37097
  İnci kefali (Tarek),11623,11758,10685,11382,9168
  Sazan (Common carp),12286,11625,10964,12058,9998
  Siraz (Transcaucasian barb),985,993,891,962,924
  Levrek Sudak (Pike perch),1586,1346,1234,1476,737
  Gümüş (Sand smelt),6540,6630,6184,4438,6705
  Salyangoz (Snail),1397,1007,2227,1991,1410
  Kerevit (Cray fish),816,783,734,1030,610
  Diğer tatlısu ürünleri (Other freshwater products),8088,6869,6268,6922,7545
