table_number,table_title,source_page
13.8,Hours worked index in industry 2008-2012 (2010=100),237

NACE_description_EN,2008,2009,2010,2011,2012
All items (General index),107.4,95.7,100.0,106.2,110.4
IG intermediate goods,104.8,93.2,100.0,106.3,111.6
DCG durable consumer goods,107.5,94.7,100.0,108.8,112.6
UCG undurable consumer goods,106.5,97.3,100.0,104.2,107.6
E Energy,106.9,102.0,100.0,98.9,100.2
CG capital goods,116.7,95.2,100.0,111.4,115.8
Mining and quarrying,100.9,95.5,100.0,105.1,106.7
Mining of coal and lignite,101.2,97.7,100.0,100.1,100.3
Extraction of crude petroleum and natural gas,94.3,100.5,100.0,106.6,106.6
Mining of metal ores,91.6,79.2,100.0,119.6,119.1
Other mining and quarrying,105.8,97.8,100.0,105.3,109.9
Manufacturing industry,107.5,95.3,100.0,106.5,110.9
Manufacture of food products,95.9,97.3,100.0,103.9,108.1
Manufacturing of beverages,85.8,82.5,100.0,109.1,106.7
Manufacture of tobacco products,117.1,123.7,100.0,107.6,111.8
Manufacture of textiles,110.4,93.8,100.0,105.5,113.7
Manufacture of wearing apparel,114.0,97.1,100.0,103.6,106.7
Manufacturing of leather and related products,105.9,93.4,100.0,110.1,116.0
Manufacture of wood and of products of wood and cork,98.6,88.0,100.0,105.3,110.5
Manufacture of paper and paper products,105.1,94.9,100.0,103.6,106.3
Printing and reproduction of printed media,106.1,98.8,100.0,104.7,108.2
Manufacture of coke and refined petroleum products,105.4,101.1,100.0,102.3,97.9
Manufacture of chemicals and chemicals products,99.3,94.8,100.0,105.5,108.2
Manufacture of basic pharmaceutical products and pharmaceutical preparations,104.5,101.5,100.0,101.8,96.9
Manufacture of rubber and plastics products,101.4,91.3,100.0,106.4,111.2
Manufacture of non-metallic mineral products,110.2,95.4,100.0,105.5,108.7
Manufacture of basic metals,110.0,95.9,100.0,107.8,112.0
Manufacture of fabricated metal products,104.4,92.8,100.0,108.7,113.8
Manufacture of computer electronic and optical products,114.4,98.4,100.0,110.8,118.8
Manufacture of electrical equipment,97.7,91.7,100.0,111.0,119.4
Manufacture of machinery and equipment n.e.c.,110.9,92.6,100.0,114.6,123.3
Manufacture of motor vehicles trailers and semi-trailers,119.2,90.6,100.0,114.6,116.8
Manufacture of other transport equipments,131.7,113.4,100.0,103.4,103.4
Manufacture of furniture,107.2,95.4,100.0,107.0,108.9
Other Manufacturing,116.4,101.8,100.0,97.4,99.5
Repair and installation of machinery and equipment,144.2,107.0,100.0,102.0,92.2
Electricity gas steam and air conditioning supply,113.8,106.3,100.0,96.3,100.2
Water collection treatment and supply,106.9,101.8,100.0,100.1,99.2
