table_number,table_title,source_page
13.12,Trade and Services hours worked index 2008-2012 (2010=100),241

NACE_code,NACE_description_EN,2008,2009,2010,2011,2012
TOTAL,Trade and Services,105.3,100.1,100.0,106.2,108.7
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,104.1,101.1,100.0,105.3,108.3
45,Wholesale and retail trade and repair of motor vehicles and motorcycles,113.4,102.8,100.0,105.8,113.0
46,Wholesale trade except of motor vehicles and motorcycles,102.7,100.4,100.0,103.4,102.3
47,Retail trade except of motor vehicles and motorcycles,103.7,101.2,100.0,106.3,110.5
H,Transportation and storage,106.7,102.7,100.0,105.2,104.6
49,Land transport and transport via pipelines,102.7,97.0,100.0,105.5,104.1
50,Water transport,105.7,106.4,100.0,93.5,97.7
51,Air transport,94.6,95.6,100.0,111.3,111.9
52,Warehousing and support activities for transportation,104.7,106.0,100.0,106.1,108.4
53,Postal and courier activities,130.1,116.7,100.0,102.8,102.9
I,Accommodation and food service,113.3,102.0,100.0,108.5,115.0
55,Accommodation,104.3,97.7,100.0,108.5,116.1
56,Food and beverage service activities,118.3,104.4,100.0,108.5,114.6
J,Information and communication,105.6,98.0,100.0,101.6,98.7
58,Publishing activities,117.1,104.2,100.0,101.2,108.4
59,Motion picture video and television programme production sound recording and music publishing,108.3,105.1,100.0,107.5,110.0
60,Programming and broadcasting activities,94.4,95.4,100.0,104.4,101.3
61,Telecommunications,100.5,94.1,100.0,101.5,97.6
62,Computer programming consultancy and related activities,131.5,112.2,100.0,101.3,93.1
63,Information service activities,86.9,81.7,100.0,93.0,103.8
M,Professional scientific and technical activities,122.6,107.9,100.0,109.3,115.5
69+702,Legal accounting and management consultancy activities,112.9,105.0,100.0,108.5,116.2
71,Architectural and engineering activities; technical testing and analysis,128.3,115.0,100.0,113.7,120.9
73,Advertising and market research,150.0,109.4,100.0,104.4,110.4
74,Other professional scientific and technical activities,116.7,107.2,100.0,108.5,98.5
N,Administrative and support service activities,95.5,89.1,100.0,108.5,108.4
78,Employment activities,127.9,102.1,100.0,86.7,96.3
79,Travel agency tour operator reservation service and related activities,141.0,111.5,100.0,109.8,114.8
80,Security and investigation activities,107.1,103.2,100.0,104.4,94.7
812,Cleaning activities,81.7,80.5,100.0,111.1,113.4
82,Office administrative office support and other business support activities,115.6,101.2,100.0,111.1,112.6
