table_number,table_title,source_page
13.14,New buildings and additions by use of building and type of investor 2008-2012 (according to construction permits),243
notes,"A=Number of buildings; B=Floor area (m2); C=Value (TL); D=Number of dwelling units"

investor_category,building_type,measure,2008,2009,2010,2011,2012
General total,All,A,95193,92342,139616,102132,104156
General total,All,B,103846233,100726544,176429366,124269738,153530794
General total,All,C,59006449177,54367862313,101918036853,81184650900,105361041465
General total,All,D,503565,518475,907451,652366,753251
Public sector,All,A,6462,4977,7425,6324,6656
Public sector,All,B,15194004,13826570,20517659,17050277,26857476
Public sector,All,C,8630082260,7489150777,11812913879,11176244497,18824809957
Public sector,All,D,59291,53597,80912,53266,73725
Public sector,Residential,A,4227,2718,4047,2978,3095
Public sector,Residential,B,7929078,7360592,10410075,7055404,10500015
Public sector,Residential,C,4601906867,4102503797,6133440359,4783806478,7664536298
Public sector,Residential,D,58684,53520,80477,53160,73395
Public sector,Non-residential,A,2235,2259,3378,3346,3561
Public sector,Non-residential,B,7264926,6465978,10107584,9994873,16357461
Public sector,Non-residential,C,4028175393,3386646980,5679473520,6392438019,11160273659
Public sector,Non-residential,D,607,77,435,106,330
Private sector,All,A,85175,81839,126102,94207,96083
Private sector,All,B,82567705,79963328,145564214,104224775,124066728
Private sector,All,C,46943638432,43186496663,84113959507,68109097361,84753345379
Private sector,All,D,412290,432950,774516,585407,668510
Private sector,Residential,A,74121,73281,111706,82978,85126
Private sector,Residential,B,62162095,65915851,119863908,84280038,101034437
Private sector,Residential,C,35468152385,35724959611,69709095049,55419599761,69715621030
Private sector,Residential,D,410357,430797,770154,583082,664538
Private sector,Non-residential,A,11054,8558,14396,11229,10957
Private sector,Non-residential,B,20405610,14047477,25700306,19944737,23032291
Private sector,Non-residential,C,11475486047,7461537052,14404864458,12689497600,15037724349
Private sector,Non-residential,D,1933,2153,4362,2325,3972
Construction cooperatives,All,A,3556,5526,6089,1601,1417
Construction cooperatives,All,B,6084524,6936646,10347493,2994686,2606590
Construction cooperatives,All,C,3432728485,3692214873,5991163467,1899309042,1782886129
Construction cooperatives,All,D,31984,31928,52023,13693,11016
Construction cooperatives,Residential,A,3029,3368,4023,1342,1014
Construction cooperatives,Residential,B,5068083,5616506,8886598,2515898,1946266
Construction cooperatives,Residential,C,2873322408,3000031195,5154147690,1605320463,1347765103
Construction cooperatives,Residential,D,31979,31917,52003,13686,11014
Construction cooperatives,Non-residential,A,527,2158,2066,259,403
Construction cooperatives,Non-residential,B,1016441,1320140,1460895,478788,660324
Construction cooperatives,Non-residential,C,559406077,692183678,837015777,293988579,435121026
Construction cooperatives,Non-residential,D,5,11,20,7,2
