Table,20.2 Municipalities budget realizations 2008-2012
Source,Ministry of Finance - General Directorate of Public Accounts
Unit,Thousand TL (Bin TL)
Yearbook_Page,338

Category,2008,2009,2010,2011,2012
EXPENDITURES,30959084,31012132,34474935,41132755,46988113
Compensation of employees,5944940,6429912,6961389,7579178,8212752
Government premiums to social security agencies,831219,978137,1191385,1289262,1329199
Good and service purchase,10565757,10486169,12247627,15296432,18552457
Interest expenditures,631434,1004952,1043586,1074701,1189199
Current transfers,1493257,1619737,1967553,1887236,1861478
Capital expenditures,11000982,8650100,9548125,11398589,13849438
Capital transfers,136729,519968,115196,849903,527250
Lending,354766,1323157,1400074,1757454,1466340
REVENUES,25736012,26844961,34233863,40740227,45131525
Taxes,4077274,3631028,5854566,6878140,7232437
Property income,3751749,4123985,4824058,5365883,6505295
Grants aids and special revenues,496871,375120,444597,626713,645662
Interest shares and fines,15709413,16787113,20408332,24391216,27437036
Capital revenues,1664835,1243331,2533815,3351272,2988174
Collections from loans,35870,684384,168495,127003,322921
Budget balance,-5223072,-4167171,-241072,-392528,-1856588
