Table,20.3 Municipalities budget realizations and special provincial administrations by Statistical Region (SR) 2012
Source,Ministry of Finance - General Directorate of Public Accounts
Unit,Thousand TL (Bin TL)
Yearbook_Page,339

IBBS_SR_Code,Region_Description,Municipalities_Expenditures_ThousandTL,Municipalities_Expenditures_Pct,Special_Provincial_Expenditures_ThousandTL,Special_Provincial_Expenditures_Pct
TR,Turkey Total,46988113,100.0,11517481,100.0
TR10,Istanbul,13512776,28.8,832044,7.2
TR21,"Tekirdag, Edirne, Kirklareli",854313,1.8,206577,1.8
TR22,"Balikesir, Canakkale",840124,1.8,261724,2.3
TR31,Izmir,3125955,6.7,319649,2.8
TR32,"Aydin, Denizli, Mugla",1637903,3.5,475670,4.1
TR33,"Manisa, Afyonkarahisar, Kutahya, Usak",1433057,3.0,524311,4.6
TR41,"Bursa, Eskisehir, Bilecik",2322324,4.9,338664,2.9
TR42,"Kocaeli, Sakarya, Duzce, Bolu, Yalova",2552213,5.4,429179,3.7
TR51,Ankara,4450776,9.5,448334,3.9
TR52,"Konya, Karaman",1519526,3.2,427215,3.7
TR61,"Antalya, Isparta, Burdur",1858492,4.0,393848,3.4
TR62,"Adana, Mersin",1907203,4.1,378007,3.3
TR63,"Hatay, Kahramanmaras, Osmaniye",1198580,2.6,453892,3.9
TR71,"Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir",773016,1.6,328532,2.9
TR72,"Kayseri, Sivas, Yozgat",1284031,2.7,427641,3.7
TR81,"Zonguldak, Karabuk, Bartin",429482,0.9,210611,1.8
TR82,"Kastamonu, Cankiri, Sinop",293380,0.6,265079,2.3
TR83,"Samsun, Tokat, Corum, Amasya",1198909,2.6,557355,4.8
TR90,"Trabzon, Ordu, Giresun, Rize, Artvin, Gumushane",1077270,2.3,672714,5.8
TRA1,"Erzurum, Erzincan, Bayburt",422323,0.9,365855,3.2
TRA2,"Agri, Kars, Igdir, Ardahan",256715,0.5,379535,3.3
TRB1,"Malatya, Elazig, Bingol, Tunceli",665128,1.4,526447,4.6
TRB2,"Van, Mus, Bitlis, Hakkari",514580,1.1,714210,6.2
TRC1,"Gaziantep, Adiyaman, Kilis",1268052,2.7,355995,3.1
TRC2,"Sanliurfa, Diyarbakir",1010207,2.1,700634,6.1
TRC3,"Mardin, Batman, Sirnak, Siirt",581778,1.2,523759,4.5
