Table,20.10 Numbers and capitals of established/liquidated companies/cooperatives by type 2012
Source,Union of Chambers and Commodity Exchanges of Turkey
Yearbook_Page,343

Category,Collective_General_Partnership,Limited_Partnership_Komandit,Joint_Stock_Anonim,Limited_Liability_Limited,Cooperatives
NUMBER,,,,
Newly established,56,8,4059,34764,877
Changing legal status,1,,742,96,
Capital increase,57,1,5828,26674,87
Capital decrease,,,101,100,
Liquidated,132,6,1609,12421,1895
CAPITAL (Thousand TL),,,,
Newly established,10698,86,5748946,8078518,
Changing legal status,289,,3199733,209789,
Capital increase,57687,1000,134034158,76692448,6567
Capital decrease,,,2157892,237799,
