Table,20.12 Number of established and liquidated trade name businesses by economic activity 2011-2012
Source,Union of Chambers and Commodity Exchanges of Turkey
Yearbook_Page,345
Note_1,"2011 liquidated includes 13971 closed ex officially"
Note_2,"2012 liquidated includes 11279 closed ex officially"

NACE_Rev2_Activity,2011_Established,2011_Liquidated,2012_Established,2012_Liquidated
Total,60430,41130,67455,31915
Agriculture forestry and fishing,517,272,512,210
Mining and quarrying,172,102,130,72
Manufacturing,7481,3752,7827,2797
Electricity gas steam and air conditioning supply,112,20,47,13
Water supply sewerage waste management,82,28,103,13
Construction,13733,5280,13989,4309
Wholesale and retail trade (incl motor vehicles),21858,23478,23960,17845
Transportation and storage,4325,1945,7235,1652
Accommodation and food service activities,3969,1608,4689,1517
Information and communication,1108,465,1227,400
Finance and insurance activities,234,882,384,580
Real estate activities,1030,398,1191,321
Professional scientific and technical activities,1927,1264,2247,844
Administrative and support service activities,1152,485,1215,344
Public administration and defence,13,5,9,14
Education,572,266,781,246
Human health and social service activities,237,159,251,111
Arts entertainment and recreation,808,360,606,289
Other service activities,1099,359,1051,338
Households as employers,1,,1,
Activities of international organizations,,2,,
