Table,21.2 Gross domestic product in current prices by kind of economic activity (basic prices) 2008-2012
Source,TurkStat - National Accounts
Unit,Thousand TL (Bin TL)
Yearbook_Page,349

Activity,2008,2009,2010,2011,2012
Agriculture hunting and forestry,70741993,76997468,90721877,101300415,109808173
Fishing,1532592,1778418,2017144,2334837,2826839
Mining and quarrying,13458457,14235361,15785419,19132941,21103549
Manufacturing,153721455,144992162,172112147,210674183,220338730
Electricity gas and water supply,20637525,22818051,25454991,28767958,32347039
Construction,44657644,36577637,45669500,57751314,61806870
Wholesale and retail trade,116297110,103452320,120869437,155908297,172624220
Hotels and restaurants,21034516,23714131,25589583,30027794,33314240
Transport storage communication,135030193,127283537,144427539,175665163,197988665
Financial intermediation,33036646,42687806,40501622,40575763,46987214
Ownership and dwelling,106137796,117287009,123028927,129264974,137712834
Real estate renting and business activities,40670633,45167515,52742758,60939380,70472362
Public administration defence social security,36436682,41270555,46090339,52248858,60359334
Education,27878075,31813406,36802652,42717217,49197843
Health and social work,15577687,16448847,17939458,19384533,21783979
Other community social personal service activities,16030765,16078191,18696622,21379890,22074406
Private households with employed persons,1705443,1847272,2097000,2379620,2709704
Sectoral total,854585214,864449686,980547016,1150453139,1263456003
Financial intermediation services indirectly measured (deduct),14927534,21708092,19419336,17323639,22389995
Taxes minus subsidies,110876571,109816985,137671668,164583710,175750793
GDP at purchaser prices,950534251,952558579,1098799348,1297713210,1416816801
