Table,21.7 Sectoral share of GDP in constant prices (1998 base prices) 2008-2012
Source,TurkStat - National Accounts
Unit,Percent (%)
Yearbook_Page,354

Activity,2008,2009,2010,2011,2012
Agriculture hunting and forestry,9.0,9.8,9.2,8.9,9.1
Fishing,0.3,0.3,0.3,0.3,0.3
Mining and quarrying,0.8,0.8,0.8,0.7,0.7
Manufacturing,23.8,23.2,24.2,24.4,24.4
Electricity gas and water supply,2.1,2.1,2.1,2.1,2.1
Construction,5.9,5.2,5.7,5.8,5.7
Wholesale and retail trade,13.0,12.2,12.7,13.0,12.7
Hotels and restaurants,1.8,2.0,1.8,1.9,1.9
Transport storage communication,14.7,14.4,14.6,14.8,14.9
Financial intermediation,10.6,12.1,11.8,11.9,12.0
Ownership and dwelling,4.8,5.2,4.8,4.5,4.5
Real estate renting and business activities,3.4,3.7,3.7,3.7,3.9
Public administration defence social security,3.0,3.3,3.0,2.9,2.9
Education,2.0,2.1,1.9,1.9,1.9
Health and social work,1.2,1.3,1.2,1.2,1.2
Other community social personal service activities,1.6,1.6,1.5,1.4,1.4
Private households with employed persons,0.2,0.2,0.2,0.2,0.2
Sectoral total,98.2,99.5,99.4,99.6,99.7
Financial intermediation services indirectly measured (deduct),6.6,7.7,7.9,8.1,8.2
Taxes minus subsidies,8.4,8.1,8.4,8.5,8.5
GDP at purchaser prices,100.0,100.0,100.0,100.0,100.0
