Table,21.9 Expenditure on GDP at 1998 prices 2008-2012
Source,TurkStat - National Accounts
Unit,Thousand TL (Bin TL)
Yearbook_Page,355
Note,"Change in stocks estimated as residual; includes statistical discrepancy"

Category,2008,2009,2010,2011,2012
GDP (1998 prices),101921730,97003114,105885644,115174724,117753693
Final consumption expenditure of resident households,70198486,68597603,73174350,78796580,78223981
Final consumption of resident and non-resident households on territory,73800315,72348575,76651527,82518321,82600128
Final consumption non-resident households on territory (less),4084770,4427934,4208987,4357465,4916183
Final consumption resident households abroad,482942,676962,731810,635723,540035
Government final consumption expenditure,10304175,11105788,11325193,11854890,12534181
Government - Compensation of employees,5042711,5112949,5172463,5376746,5569524
Government - Purchases of goods and services,5261464,5992839,6152730,6478144,6964657
Gross fixed capital formation,23912294,19358027,25270576,29826287,29075469
GFCF - Public sector,3780105,3755945,4419507,4321032,4706933
GFCF - Public sector machinery and equipment,910781,790100,886697,821969,1160958
GFCF - Public sector construction,2869324,2965845,3532810,3499063,3545975
GFCF - Private sector,20132189,15602082,20851069,25505255,24368537
GFCF - Private sector machinery and equipment,12862368,9921673,14165993,17705531,16536073
GFCF - Private sector construction,7269820,5680409,6685076,7799724,7832464
Change in stocks,217211,-2140473,281357,21150,-1468376
Exports of goods and services,25968236,24660528,25500932,27509654,32232372
Imports of goods and services (less),28678672,24578358,29666764,32833837,32843935
