Table,21.10 Growth rates of GDP expenditure at current prices 2008-2012
Source,TurkStat - National Accounts
Unit,Percent (%)
Yearbook_Page,356

Category,2008,2009,2010,2011,2012
GDP,12.7,0.2,15.4,18.1,9.2
Final consumption expenditure of resident households,10.4,2.5,15.7,17.3,7.5
Final consumption resident and non-resident households on territory,10.6,2.7,14.7,17.9,8.0
Final consumption non-resident households on territory (less),14.2,10.1,-2.9,29.4,14.9
Final consumption resident households abroad,7.5,40.4,13.1,12.7,-9.7
Government final consumption expenditure,12.9,15.1,12.5,14.7,15.8
Government - Compensation of employees,12.4,13.2,15.2,15.5,16.3
Government - Purchases of goods and services,13.4,17.4,9.3,13.7,15.2
Gross fixed capital formation,4.7,-15.0,29.3,36.3,1.6
GFCF - Public sector,28.1,-3.8,22.8,13.1,11.4
GFCF - Public sector machinery and equipment,33.9,-6.5,7.0,10.4,40.4
GFCF - Public sector construction,26.9,-3.2,26.2,13.5,6.3
GFCF - Private sector,0.3,-17.7,31.1,42.4,-0.5
GFCF - Private sector machinery and equipment,-0.9,-12.7,35.1,45.2,-4.7
GFCF - Private sector construction,2.1,-25.3,24.0,36.8,8.3
Exports of goods and services,20.7,-2.3,4.9,33.5,20.4
Imports of goods and services (less),16.2,-13.6,26.4,44.1,5.5
