table_id,table_ref,description,unit,series,year_2008,year_2009,year_2010,year_2011,year_2012
chunk_011_table02,21.15,Final consumption expenditure resident and non-resident households on economic territory at 1998 prices,Thousand TL,Total,73800315,72348575,76651527,82518321,82600128
chunk_011_table02,21.15,Final consumption expenditure resident and non-resident households on economic territory at 1998 prices,Thousand TL,Food beverages and tobacco,20010697,20214496,20648574,22007062,22453700
chunk_011_table02,21.15,Final consumption expenditure resident and non-resident households on economic territory at 1998 prices,Thousand TL,Clothing and footwear,4597607,4073329,4656773,5028772,4729060
chunk_011_table02,21.15,Final consumption expenditure resident and non-resident households on economic territory at 1998 prices,Thousand TL,Housing water electricity gas and other fuels,7875062,7968281,8209459,8413653,8440452
chunk_011_table02,21.15,Final consumption expenditure resident and non-resident households on economic territory at 1998 prices,Thousand TL,Furnishing household equipment and routine maintenance,7992392,7913119,8805342,9992555,9665810
chunk_011_table02,21.15,Final consumption expenditure resident and non-resident households on economic territory at 1998 prices,Thousand TL,Health,3932083,3874085,4217376,4210325,4602472
chunk_011_table02,21.15,Final consumption expenditure resident and non-resident households on economic territory at 1998 prices,Thousand TL,Transport and communication,12252005,11514916,12938290,14055582,13669371
chunk_011_table02,21.15,Final consumption expenditure resident and non-resident households on economic territory at 1998 prices,Thousand TL,Recreation and culture,4053069,3779451,3738230,3926602,3969395
chunk_011_table02,21.15,Final consumption expenditure resident and non-resident households on economic territory at 1998 prices,Thousand TL,Education,646063,642425,648284,708364,758615
chunk_011_table02,21.15,Final consumption expenditure resident and non-resident households on economic territory at 1998 prices,Thousand TL,Restaurants and hotels,3454116,3582346,3593569,3942733,4075371
chunk_011_table02,21.15,Final consumption expenditure resident and non-resident households on economic territory at 1998 prices,Thousand TL,Miscellaneous goods and services,8987221,8786126,9195630,10232675,10235883
