table_id,table_ref,description,unit,year,geo,employment_status_icse,total_TL,males_TL,females_TL
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Turkey,Total,10005,10616,7470
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Rural (males),Total,,4156,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Urban (males),Total,,11792,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Rural (females),Total,,,7861
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Urban (females),Total,,,8651
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Turkey,Regular employee,10308,10529,9490
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Rural (males),Regular employee,,7202,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Urban (males),Regular employee,,11002,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Rural (females),Regular employee,,,8116
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Urban (females),Regular employee,,,9782
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Turkey,Casual employee,4241,4837,2263
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Rural (males),Casual employee,,1492,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Urban (males),Casual employee,,5278,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Rural (females),Casual employee,,,4064
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Urban (females),Casual employee,,,2624
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Turkey,Employer,25411,26279,14501
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Rural (males),Employer,,9228,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Urban (males),Employer,,28176,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Rural (females),Employer,,,18533
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Urban (females),Employer,,,15855
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Turkey,Self employed,8106,8801,4176
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Rural (males),Self employed,,3587,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Urban (males),Self employed,,10227,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Rural (females),Self employed,,,7860
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2007,Urban (females),Self employed,,,5349
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Turkey,Total,10922,11542,8400
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Rural (males),Total,,5214,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Urban (males),Total,,12875,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Rural (females),Total,,,8692
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Urban (females),Total,,,9558
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Turkey,Regular employee,11471,11770,10422
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Rural (males),Regular employee,,8652,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Urban (males),Regular employee,,12242,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Rural (females),Regular employee,,,9685
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Urban (females),Regular employee,,,10696
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Turkey,Casual employee,4511,5071,2496
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Rural (males),Casual employee,,1566,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Urban (males),Casual employee,,5664,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Rural (females),Casual employee,,,4171
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Urban (females),Casual employee,,,3007
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Turkey,Employer,26846,27450,19765
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Rural (males),Employer,,14678,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Urban (males),Employer,,29575,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Rural (females),Employer,,,19701
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Urban (females),Employer,,,22425
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Turkey,Self employed,8344,9224,3724
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Rural (males),Self employed,,3419,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Urban (males),Self employed,,10960,
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Rural (females),Self employed,,,8176
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2008,Urban (females),Self employed,,,4314
chunk_011_table04,22.5,Average annual main job incomes of individuals by employment status at main job,TL,2009,Turkey,Total,11967,12614,9446
