table_id,table_ref,description,geo,poverty_threshold_pct,year,poverty_threshold_TL,number_of_poor_thousands,poverty_rate_pct,poverty_gap_pct
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Turkey,40,2009,2818,7485,10.6,25.6
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Turkey,40,2010,2972,7355,10.3,24.0
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Turkey,40,2011,3255,7288,10.1,25.4
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Turkey,50,2009,3522,12097,17.1,28.0
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Turkey,50,2010,3714,12025,16.9,26.6
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Turkey,50,2011,4069,11670,16.1,26.3
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Turkey,60,2009,4227,17123,24.3,29.6
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Turkey,60,2010,4457,16963,23.8,28.7
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Turkey,60,2011,4883,16569,22.9,29.2
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Turkey,70,2009,4931,21938,31.1,32.4
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Turkey,70,2010,5200,21816,30.6,31.9
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Turkey,70,2011,5697,21730,30.0,31.0
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Urban,40,2009,3220,4426,9.1,24.3
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Urban,40,2010,3380,4158,8.5,20.0
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Urban,40,2011,3680,4182,8.4,22.9
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Urban,50,2009,4025,7511,15.4,25.5
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Urban,50,2010,4225,7034,14.3,24.1
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Urban,50,2011,4600,6945,13.9,25.3
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Urban,60,2009,4830,10898,22.3,27.0
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Urban,60,2010,5071,10410,21.2,26.9
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Urban,60,2011,5521,10527,21.1,27.1
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Urban,70,2009,5635,14286,29.2,29.8
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Urban,70,2010,5916,13970,28.4,28.7
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Urban,70,2011,6441,14434,29.0,27.5
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Rural,40,2009,2006,2014,9.3,25.9
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Rural,40,2010,2114,1954,8.8,22.2
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Rural,40,2011,2418,2200,9.7,22.3
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Rural,50,2009,2508,3488,16.1,24.7
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Rural,50,2010,2643,3691,16.6,21.3
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Rural,50,2011,3023,3533,15.7,25.2
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Rural,60,2009,3009,4994,23.1,27.0
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Rural,60,2010,3171,5101,23.0,27.6
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Rural,60,2011,3627,5110,22.6,28.6
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Rural,70,2009,3511,6695,30.9,29.8
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Rural,70,2010,3700,6743,30.4,31.5
chunk_011_table05,22.6,Number of poors poverty rate and poverty gap by relative poverty thresholds based on income,Rural,70,2011,4232,6691,29.6,30.9
