table_ref,sex_group,educational_attainment,ISCED_1997,year,distribution_pct,monthly_paid_hours,hourly_avg_gross_wage_TL,monthly_avg_gross_wage_TL,annual_avg_gross_earnings_TL
25.2,Total,Total,,2006,100.0,199.7,5.5,1103,14252
25.2,Total,Total,,2010,100.0,200.1,7.6,1512,19694
25.2,Total,Primary school and below,1,2006,30.9,200.5,3.8,764,9676
25.2,Total,Primary school and below,1,2010,25.0,201.4,5.1,1032,13099
25.2,Total,Primary education and secondary school,2,2006,16.4,200.7,3.8,760,9640
25.2,Total,Primary education and secondary school,2,2010,18.3,202.5,5.1,1026,13043
25.2,Total,High school,3,2006,22.4,199.6,4.6,922,11802
25.2,Total,High school,3,2010,24.4,200.4,6.4,1280,16414
25.2,Total,Vocational high school,3,2006,11.3,204.1,6.0,1233,16334
25.2,Total,Vocational high school,3,2010,9.9,205.3,7.8,1593,21280
25.2,Total,Higher education,5-8,2006,19.0,194.8,10.7,2088,27310
25.2,Total,Higher education,5-8,2010,22.4,193.8,13.7,2663,35383
25.2,Males,Total,,2006,100.0,200.3,5.5,1107,14316
25.2,Males,Total,,2010,100.0,201.1,7.5,1510,19683
25.2,Males,Primary school and below,1,2006,34.0,200.5,3.9,784,9952
25.2,Males,Primary school and below,1,2010,27.4,201.7,5.3,1066,13526
25.2,Males,Primary education and secondary school,2,2006,17.3,200.8,3.9,788,9999
25.2,Males,Primary education and secondary school,2,2010,19.9,203.0,5.2,1061,13505
25.2,Males,High school,3,2006,21.0,200.3,4.7,943,12042
25.2,Males,High school,3,2010,23.7,201.1,6.5,1317,16907
25.2,Males,Vocational high school,3,2006,12.0,205.2,6.3,1298,17312
25.2,Males,Vocational high school,3,2010,10.8,206.8,8.0,1649,22195
25.2,Males,Higher education,5-8,2006,15.7,195.6,11.4,2231,29258
25.2,Males,Higher education,5-8,2010,18.2,194.6,14.6,2842,37878
25.2,Females,Total,,2006,100.0,197.5,5.5,1091,14036
25.2,Females,Total,,2010,100.0,196.9,7.7,1519,19728
25.2,Females,Primary school and below,1,2006,20.6,200.5,3.2,650,8159
25.2,Females,Primary school and below,1,2010,17.7,200.0,4.4,874,11065
25.2,Females,Primary education and secondary school,2,2006,13.2,200.1,3.2,640,8064
25.2,Females,Primary education and secondary school,2,2010,13.5,200.3,4.3,870,10949
25.2,Females,High school,3,2006,27.2,197.9,4.4,870,11182
25.2,Females,High school,3,2010,26.3,198.6,5.9,1177,15049
25.2,Females,Vocational high school,3,2006,9.0,199.0,4.7,944,11990
25.2,Females,Vocational high school,3,2010,7.3,198.6,6.7,1336,17109
25.2,Females,Higher education,5-8,2006,30.0,193.3,9.5,1837,23899
25.2,Females,Higher education,5-8,2010,35.3,192.5,12.4,2380,31437
