table_ref,internet_activity,turkey_total_pct,urban_pct,rural_pct
26.13,Sending/receiving e-mails,66.8,67.7,61.8
26.13,Telephoning/video calls over Internet,42.5,42.0,45.2
26.13,Posting messages to chat sites social networking sites blogs news groups instant messaging,41.6,41.1,44.1
26.13,Reading or downloading online news/newspapers/magazines,72.5,72.8,71.0
26.13,Finding information about goods or services,61.3,63.2,51.9
26.13,Listening to web radios or watching web televisions,39.2,40.6,32.3
26.13,Playing or downloading games images films or music,49.1,49.0,49.7
26.13,Playing networked games with other persons,28.8,28.6,29.7
26.13,Uploading self-created content (text photos music videos software) to website,33.7,33.6,33.7
26.13,Creating web sites or blogs,5.0,5.5,2.9
26.13,Making appointment with practitioner via website,19.6,21.5,9.5
26.13,Using services related to travel or accommodation,18.9,20.8,9.2
26.13,Selling goods or services via auctions etc.,7.2,7.8,4.0
26.13,Internet banking,17.1,18.4,10.1
