year,value
1967,1.0840544048819651
1968,1.0679710624542655
1969,1.0271028564504812
1970,1.0495230322567521
1971,1.0632883740645351
1972,0.9965792759356749
1973,0.9460342217287242
1974,0.8763133113849307
1975,0.9981011712186519
1976,0.9676774244438772
1977,0.9327248980512665
1978,0.9064799748251934
1979,0.8671677794162234
1980,0.864145572037511
1981,0.8837622348332573
1982,0.925455805809859
1983,0.9511623767136373
1984,0.9391901059476709
1985,0.9679930162546836
1986,0.9836690150896595
1987,0.9643604608996935
1988,0.9394425932247965
1989,0.9512410441108418
1990,0.9184133509202268
1991,0.8942055186178196
1992,0.8622585815027205
1993,0.8075021382633861
1994,0.749689744990821
1995,0.6922514853758027
1996,0.6586859047393173
1997,0.6108302791427788
1998,0.6400795419084488
1999,0.63705487390145
2000,0.6310375792176619
2001,0.6395846645367155
2002,0.6472685273791036
2003,0.653377608046997
2004,0.620591242141025
2005,0.580768679048273
2006,0.5530078014545491
2007,0.5280942550057283
2008,0.5073120441342015
2009,0.5741119326190036
2010,0.5518278519284949
2011,0.5141521229376999
2012,0.5124925016111397
2013,0.5175892827875659
2014,0.5046988116777678
2015,0.5208656262193163
2016,0.5243325033105039
2017,0.5305509478881002
2018,0.515801889725552
2019,0.5123290943876309
2020,0.4879937308064884
2021,0.4932973964794323
2022,0.47775658020918466
2023,0.5067827465865415
2024,0.5101891276740416
