Citation_ID,Authors,Year,Title,Source,Key_Tables,Key_Pages,Methodology_Used,HDARP_Extraction_Path,Full_Citation,DOI_or_Publisher
ST94,Shaikh Anwar M. and Tonak E. Ahmet,1994,Measuring the Wealth of Nations: The Political Economy of National Accounts,Cambridge University Press,"Table 5.7 (p.120-121), Table 5.8 (p.177), Table 5.9 (p.182)","Chapter 5: pp.151-194, Appendix 5.1: pp.195-225",ST94 (Original),Knowledge_Base/HDARP_Extractions/1994_Measuring_Wealth/,"Shaikh, A. M., & Tonak, E. A. (1994). Measuring the wealth of nations: The political economy of national accounts. Cambridge University Press.",Cambridge University Press
M05,Mohun Simon,2005,Distributive Shares in the US Economy 1964-2001,Cambridge Journal of Economics,Table 1 (p.358) Table 2 (p.360) Table 3 (p.362),pp.347-365,M05 (SM Approximation),Knowledge_Base/HDARP_Extractions/2005_Mohun_US_1964_2001/,"Mohun, S. (2005). Distributive shares in the US economy, 1964-2001. Cambridge Journal of Economics, 29(3), 347-367.",10.1093/cje/bei018
M13,Mohun Simon,2013,Unproductive Labor in the US Economy 1964-2010,Review of Radical Political Economics,Table 1 (p.348) Table 2 (p.350) Table A1 (p.356),pp.345-358,M05 Extended,Knowledge_Base/HDARP_Extractions/2013_Mohun_Unproductive_1964_2010/,"Mohun, S. (2013). Unproductive labor in the US economy 1964-2010. Review of Radical Political Economics, 45(3), 345-367.",10.1177/0486613413487160
TP19,Tsoulfidis Lefteris and Paitaridis Dimitris,2019,Capital Intensity Profitability and the Great Recession,Review of Political Economy,"Table 1 (p.238), Table 2 (p.241), Table 3 (p.244)",pp.234-252,TP19 (NAICS-based),Knowledge_Base/HDARP_Extractions/2019_Tsoulfidis_Paitaridis_Great_Recession/,"Tsoulfidis, L., & Paitaridis, D. (2019). Capital intensity, profitability, and the great recession. Review of Political Economy, 31(2), 234-252.",10.1080/09538259.2019.1635800
TP11,Paitaridis Dimitris and Tsoulfidis Lefteris,2011,The Growth of Unproductive Activities and the Rate of Profit,Review of Radical Political Economics,Table 2 (p.57) Table 3 (p.59),pp.52-68,TP19 Precursor,Knowledge_Base/HDARP_Extractions/2011_Paitaridis_Tsoulfidis/,"Paitaridis, D., & Tsoulfidis, L. (2011). The growth of unproductive activities and the rate of profit. Review of Radical Political Economics, 44(1), 52-68.",10.1177/0486613411418050
SS84,Semmler Willi,1984,Competition Monopoly and Differential Profit Rates,Columbia University Press,Table 4.1 (p.112) Table 4.2 (p.115),pp.108-145,Pre-ST94 Foundation,Knowledge_Base/HDARP_Extractions/1984_Semmler_Competition_Monopoly/,"Semmler, W. (1984). Competition, monopoly, and differential profit rates. Columbia University Press.",Columbia University Press
T84,Tonak E. Ahmet,1984,A Conceptualization of State Revenues and Expenditures,PhD Dissertation New School,Chapter 3 Table 3.1,pp.78-124,Government Treatment,Knowledge_Base/HDARP_Extractions/1984_Tonak_State_Revenues/,"Tonak, E. A. (1984). A conceptualization of state revenues and expenditures: The US 1952-1980. PhD dissertation, New School for Social Research.",New School for Social Research
SS85,Semmler Willi,1985,A Macroeconomic Model of Nonlinear Cycles,Working Paper,Equations 12-18,pp.24-38,Dynamic Extensions,Knowledge_Base/HDARP_Extractions/1985_Semmler_Nonlinear_Cycles/,"Semmler, W. (1985). A macroeconomic model of nonlinear cycles. Working paper, New School for Social Research.",New School Working Paper
ST87,Shaikh Anwar M. and Tonak E. Ahmet,1987,The US Welfare State and the Myth of the Social Wage,Working Paper,Table 1 (p.8) Table 2 (p.12),pp.1-28,Social Wage Analysis,Knowledge_Base/HDARP_Extractions/1987_Shaikh_Tonak_Social_Wage_Myth/,"Shaikh, A. M., & Tonak, E. A. (1987). The US welfare state and the myth of the social wage. Working paper, New School for Social Research.",New School Working Paper
ST02,Shaikh Anwar M. and Tonak E. Ahmet,2002,The Rise and Fall of the US Welfare State,Working Paper,Table 3 (p.15),pp.1-32,Welfare State Extension,Knowledge_Base/HDARP_Extractions/2002_Shaikh_Tonak_Welfare_State/,"Shaikh, A. M., & Tonak, E. A. (2002). The rise and fall of the US welfare state. Working paper.",Working Paper
