Question_Number,Question,Category,Priority,Target_Tab,Explanation,Formula,Definition,Book_Reference,Question_Type
31,How should we handle the K vs K* capital stock distinction?,Data & Methodology,Critical,Methodology,Table 5.8 uses K* (productive fixed capital) while we calculate K (total nonresidential fixed capital). Need clarification on the adjustment factor.,K* = K × (Y/Y_total) where Y is productive output,K* is capital stock restricted to productive sectors only,Chapter 5 pp. 177-182 especially footnote 23,For_Professor_Tonak
32,What is the exact capacity utilization formula for r*' adjustment?,Data & Methodology,Critical,Methodology,"Book shows r*' which appears capacity-adjusted. We need the exact formula and data source used in 1994.",r*' = (S*/K*)/u or r*' = S*/(K*×u)?,Capacity-adjusted profit rate showing rate at full capacity utilization,Chapter 5 p. 178 Table 5.8 column headers,For_Professor_Tonak
33,Why does Table 5.7 show S*/V* of 1.70 in 1948 but Table 5.8 shows different exploitation metrics?,Data & Methodology,High,Validation,Tables 5.7 and 5.8 appear to use slightly different variable definitions. Need clarification on reconciliation.,Table 5.7: S*/V* exploitation rate. Table 5.8: Multiple surplus measures,Both tables show exploitation but with different decompositions,Chapter 5 pp. 120-121 (Table 5.7) vs p. 177 (Table 5.8),For_Professor_Tonak
34,How should Eating and Drinking Places (SIC 58) be classified?,Industry Classification,High,Classification,Mohun and Tsoulfidis-Paitaridis classify as Productive (transforms food). Your 1994 book implicitly includes in unproductive Retail Trade. Which is correct?,N/A,Food service establishments that transform raw food into prepared meals,Appendix 5.1 pp. 195-225 Industry classification list,For_Professor_Tonak
35,Should the Information sector (NAICS 51) be treated as Productive?,Industry Classification,High,Classification,NAICS created Information as separate sector in 1997. Pre-1997 these activities were scattered. Should software production be Productive?,N/A,NAICS 51 includes publishing software broadcasting telecommunications,Not directly addressed - NAICS did not exist in 1994,For_Professor_Tonak
36,How do you recommend handling the 1997 SIC to NAICS transition?,Data & Methodology,Critical,Methodology,Major classification system change. BEA provides bridge tables but discontinuities remain. Should we use 1997 as bridge year?,N/A,SIC (Standard Industrial Classification) replaced by NAICS in 1997,Book uses SIC only (pre-1997),For_Professor_Tonak
37,What is the correct treatment of Computer Systems Design services?,Industry Classification,Medium,Classification,"SIC 7370 (Computer Services) vs NAICS 5415. Custom software development - is this commodity production (Productive) or service circulation (Unproductive)?",N/A,Establishments primarily engaged in providing computer programming services,Appendix 5.1 Business Services section,For_Professor_Tonak
38,Should government consumption be excluded or treated as Unproductive?,Data & Methodology,High,Government,"Your 1994 book excludes government from Y calculations. Tsoulfidis-Paitaridis 2019 includes government workers as Unproductive. Which treatment do you prefer for extensions?",Y = GDP - Government consumption (exclusion) vs Y = GDP Government = Unproductive (inclusion),Government treatment affects surplus calculation significantly,Chapter 5 pp. 160-165 Government treatment,For_Professor_Tonak
39,How should we interpolate for non-benchmark years?,Data & Methodology,Medium,Methodology,Book provides 5-year benchmarks. Should interpolation be linear on ratios or levels? Should we use annual BEA data directly?,Linear interpolation on S*/V* ratios vs recalculate from annual data,Interpolation method affects year-to-year variation,Table 5.7 shows 5-year intervals,For_Professor_Tonak
40,What is the preferred data source for production worker ratios (Lp/L)?,Data & Methodology,Medium,Employment,BLS CES provides production worker counts. Should we use CES directly or derive from I-O tables as in original methodology?,Lp/L = Production workers / Total employees (BLS CES),Production workers as proxy for productive labor within productive sectors,Appendix 5.1 p. 210 Production worker methodology,For_Professor_Tonak
41,How should rental income be allocated between surplus categories?,Capital Composition,Medium,Exploitation,Rental income appears in both property income and potentially in V* calculations. Need clarification on treatment.,S* = Profits + Unproductive wages + Interest + Rent - but rent allocation unclear,Rental income from capital deployed in productive vs unproductive uses,Chapter 5 pp. 155-158 Surplus decomposition,For_Professor_Tonak
42,Should we use historical cost or replacement cost for capital stock K*?,Capital Composition,High,Profit Rate,BEA Fixed Assets provides both. Shaikh's ERPT work uses current cost. What did you use in 1994 book calculations?,K at historical cost vs K at current (replacement) cost,Historical cost = original purchase price; Current cost = today's replacement value,Chapter 5 p. 178 Capital stock definition,For_Professor_Tonak
43,How do you view Mohun's SM (Supervisory-Manual) approximation for services?,Data & Methodology,Medium,Methodology,Mohun 2005 uses SM worker ratio to approximate productive/unproductive in service sectors. Is this a valid extension of your methodology?,Lp/L_services ≈ α × (Manual/Total) where α is calibration factor,SM approximation uses BLS occupational data to estimate productive labor in services,Not in book - Mohun 2005 innovation,For_Professor_Tonak
44,What is your view on the Tsoulfidis-Paitaridis VCC decomposition?,Capital Composition,Low,Methodology,TP19 decomposes Value Composition of Capital into technical and value components. Is this consistent with your framework?,VCC = TCC × λ where TCC is technical composition and λ is value factor,Decomposition allows separating mechanization from value changes,Not in book - TP19 innovation,For_Professor_Tonak
45,Should Financial Intermediation Services be included in GDP for these calculations?,Data & Methodology,Medium,Methodology,BEA includes FISIM (Financial Intermediation Services Indirectly Measured). Should this be excluded from productive output?,Y = GDP - FISIM? or include FISIM in unproductive sector output,FISIM measures implicit banking services from interest rate spreads,Post-1994 NIPA methodology change,For_Professor_Tonak
