year,T506,T511,T512,T513,T514
1948,1.7,0.57,0.54,1.9106970349703425,1.5490476766086636
1949,1.713,0.565,0.535,1.8226136212498665,1.5077706625594802
1950,1.726,0.56,0.53,1.9659269922879177,1.620561439588689
1951,1.739,0.555,0.525,2.05882338214626,1.6761196321846787
1952,1.752,0.55,0.52,2.0010920406244623,1.6389312111862926
1953,1.765,0.545,0.515,2.0287439452501683,1.6616476366086308
1954,1.778,0.54,0.51,1.9232105961830688,1.606422453347388
1955,1.791,0.535,0.505,2.098575694546951,1.7080954630238456
1956,1.804,0.53,0.5,2.033010097289377,1.680021429164145
1957,1.817,0.525,0.495,1.9796508604539385,1.6604513418691174
1958,1.83,0.52,0.49,1.8768468564449696,1.6220295896757235
1959,1.86,0.519,0.485,2.003918856219697,1.6764142423329236
1960,1.89,0.518,0.48,1.957762248889478,1.6628691904793476
1961,1.92,0.517,0.476,1.93255767597144,1.65794184502746
1962,1.95,0.516,0.472,2.034705738945473,1.7147318525790485
1963,1.98,0.514,0.468,2.08514104557886,1.7495893123582462
1964,2.01,0.513,0.464,2.155364402687445,1.7957945547653258
1965,2.04,0.512,0.46,2.2463702553926903,1.8443882096908404
1966,2.07,0.511,0.456,2.286474403275972,1.848310617492992
1967,2.1,0.51,0.452,2.198238873886325,1.8236326238420264
1968,2.1,0.509,0.448,2.2241687689438976,1.8283945301698208
1969,2.1,0.508,0.444,2.1482350865842537,1.7901959054868783
1970,2.1,0.507,0.44,2.006039123444292,1.7293440719347348
1971,2.1,0.506,0.436,2.0241428138265616,1.7388193119797122
1972,2.1,0.505,0.432,2.1071399381438525,1.784238336620826
1973,2.1,0.504,0.428,2.1384359524007106,1.769597193168805
1974,2.1,0.503,0.424,1.9625311928705764,1.6461612067048652
1975,2.1,0.502,0.42,1.936793515236732,1.674054234081293
1976,2.1,0.501,0.416,2.03063800513986,1.731189082722922
1977,2.1,0.5,0.412,2.067152306650945,1.752811925679855
1978,2.128,0.488,0.408,2.0656318440803343,1.7217072686280084
1979,2.157,0.477,0.404,1.967327633162328,1.6394396943019405
1980,2.185,0.465,0.4,1.837440764348748,1.5747997439321555
1981,2.213,0.453,0.396,1.867686804049688,1.5972809704667368
1982,2.242,0.442,0.391,1.770221215981243,1.5810051715176894
1983,2.27,0.43,0.387,1.854245451429227,1.626420071731438
1984,2.298,0.418,0.382,1.9961419656855053,1.6966148308557083
1985,2.327,0.407,0.378,1.980835484903404,1.6917865300247954
1986,2.355,0.395,0.373,1.9673640720158407,1.6960771695771746
1987,2.383,0.383,0.369,2.002387654429647,1.708675546659988
1988,2.412,0.372,0.364,2.045530022575209,1.7261176058008474
1989,2.44,0.36,0.36,2.010627389490254,1.6857756212473305
1990,2.538,0.35,0.35,1.9528465191185544,1.663976701609051
1991,2.559,0.348,0.348,1.8675847731156536,1.6314284618980133
1992,2.579,0.346,0.346,1.9363989273963835,1.6718517055124429
1993,2.6,0.344,0.344,1.979103378020049,1.7013344828593409
1994,2.621,0.342,0.342,2.047355789977258,1.739980888882529
1995,2.642,0.34,0.34,2.0712801859162817,1.753206237030815
1996,2.686,0.336,0.336,2.119101174635781,1.7836491956591132
1997,2.73,0.332,0.332,2.155842150889064,1.8041337637349568
1998,2.776,0.328,0.328,2.200847563838656,1.832227344401252
1999,2.822,0.324,0.324,2.2416575639657017,1.8538878395867944
2000,2.87,0.32,0.32,2.1608439146493943,1.7840031916309012
2001,2.894,0.318,0.318,2.019653021518368,1.7247575641738215
2002,2.919,0.316,0.316,1.984405192181925,1.705892182752883
2003,2.944,0.314,0.314,2.0504739600214705,1.7417069374095415
2004,2.969,0.312,0.312,2.157086734110944,1.807171404950377
2005,2.995,0.31,0.31,2.2008590276009627,1.827537772426046
2006,3.021,0.308,0.308,2.226602742629136,1.837435077291326
2007,3.047,0.306,0.306,2.1513268037537103,1.778690136839674
2008,3.074,0.304,0.304,1.9299505439000963,1.6616614548377513
2009,3.101,0.302,0.302,1.8206943186905755,1.6251182524098668
2010,3.128,0.3,0.3,1.9681966981779264,1.7084292259649576
2011,3.156,0.298,0.298,2.027789045936629,1.7468692258785297
2012,3.184,0.296,0.296,2.0697004980783857,1.7718786601730805
2013,3.212,0.294,0.294,2.1028833023322933,1.7957205727781382
2014,3.241,0.292,0.292,2.1279716925324794,1.8180000094972544
2015,3.27,0.29,0.29,2.105414595763424,1.811386257721029
2016,3.3,0.288,0.288,2.0649350293195683,1.7869630061419342
2017,3.33,0.286,0.286,2.1306103079441847,1.8259308882784504
2018,3.361,0.284,0.284,2.171789255963883,1.8509567522419457
2019,3.391,0.282,0.282,2.101136500614122,1.8071061629388057
2020,3.423,0.28,0.28,1.8510960251211093,1.6654498730364993
2021,3.463,0.278,0.278,2.1304957872562533,1.8094180451243884
2022,3.503,0.275,0.275,2.207479145086662,1.8510185049267536
2023,3.545,0.273,0.273,2.12509734300588,1.8077265995499057
2024,3.587,0.27,0.27,2.0949415418034096,1.788312431795336
